time,open,high,low,close,Volume
2014-10-31,124.8,127.0,122.1,124.75,14363870
2014-11-03,124.0,129.5,120.2,128.55,18400170
2014-11-05,129.0,131.39999,125.55,126.75,14449840
2014-11-07,131.0,135.0,129.7,134.5,18381900
2014-11-10,133.0,137.60001,132.7,135.85001,11459470
2014-11-11,136.8,137.89999,132.39999,136.75,12176770
2014-11-12,137.0,140.85001,136.3,140.05,10118710
2014-11-13,140.0,141.8,136.5,139.35001,14522580
2014-11-14,141.60001,143.25,139.5,142.3,10545130
2014-11-17,141.85001,141.85001,137.7,139.7,10119230
2014-11-18,139.0,140.35001,137.0,138.75,7755879
2014-11-19,138.0,144.2,137.7,141.2,10880410
2014-11-20,140.2,141.64999,136.10001,138.60001,8131958
2014-11-21,138.10001,141.5,137.60001,140.39999,5134807
2014-11-24,140.35001,148.39999,139.95,147.5,10430200
2014-11-25,147.95,147.95,140.25,141.95,8045901
2014-11-26,140.5,154.89999,136.5,152.14999,21950470
2014-11-27,151.0,153.14999,146.75,148.25,18833850
2014-11-28,147.0,155.0,145.0,149.10001,18633370
2014-12-01,148.7,155.0,146.8,154.2,13350250
2014-12-02,152.0,155.89999,151.10001,153.8,10183220
2014-12-03,154.0,156.8,152.8,155.2,8047255
2014-12-04,156.0,156.8,151.35001,154.35001,8275370
2014-12-05,154.35001,163.64999,153.5,161.7,15035600
2014-12-08,161.0,166.0,158.60001,160.55,12397330
2014-12-09,159.75,162.45,157.2,159.2,10409190
2014-12-10,157.25,161.7,150.10001,159.55,9884609
2014-12-11,158.75,161.25,154.5,155.89999,9680927
2014-12-12,157.35001,158.25,150.55,152.05,9511902
2014-12-15,151.0,154.14999,144.14999,144.75,8065896
2014-12-16,143.3,145.3,137.64999,139.25,11038100
2014-12-17,138.75,140.45,133.0,133.60001,11820120
2014-12-18,137.5,139.35001,133.5,135.89999,7656559
2014-12-19,136.5,138.89999,129.39999,132.0,12660300
2014-12-22,134.55,136.5,131.3,133.64999,13020180
2014-12-23,132.60001,134.89999,130.55,133.5,15034440
2014-12-24,133.0,135.0,131.05,131.64999,8234588
2014-12-26,131.39999,136.89999,129.89999,136.2,9479087
2014-12-29,137.45,140.39999,135.05,135.8,7263250
2014-12-30,137.0,138.25,134.25,135.64999,5686089
2014-12-31,135.8,138.2,135.05,137.39999,4360342
2015-01-01,137.0,138.14999,136.0,137.39999,3057025
2015-01-02,138.39999,140.75,137.10001,139.2,4759090
2015-01-05,136.8,137.5,134.8,135.8,5929537
