time,open,high,low,close,Volume
2014-10-28,470.62500043,476.54376294,470.62500043,473.53125044,6666367.9938698
2014-10-29,476.61875044,486.58750045,476.61875044,485.18125045,8229335.99243253
2014-10-30,487.00000045,497.65625046,487.00000045,493.31875045,15245207.98598093
2014-10-31,498.38125046,508.25000047,498.38125046,506.40625047,8670799.99202658
2014-11-03,509.61248797,513.75000047,504.05625046,510.73748797,8578407.99211154
2014-11-05,510.62500047,519.25000048,507.12500047,515.59997547,10241079.99058259
2014-11-07,514.78747547,522.87500048,514.78747547,520.82501298,9970399.9908315
2014-11-10,521.88122548,522.63751298,517.50000048,520.68750048,5594167.99485576
2014-11-11,520.62500048,520.62500048,512.97497547,515.65002547,6255087.994248
2014-11-12,515.12500047,518.83752548,512.13751297,513.25000047,5392895.99504084
2014-11-13,515.25000047,525.13122548,514.04998797,522.32501298,4956679.99544198
2014-11-14,524.25000048,526.43127548,521.75000048,523.95623798,5233175.99518772
2014-11-17,523.12500048,528.48748799,518.51251298,527.30627548,5458183.99498081
2014-11-18,528.12500049,528.47497549,521.51251298,522.79376298,5267119.9951565
2014-11-19,522.50000048,523.74377548,517.46875048,521.66876298,5201119.9952172
2014-11-20,523.75000048,529.06250049,522.98126298,528.20001299,5347927.9950822
2014-11-21,521.25000048,522.37500048,512.70001297,518.26873798,10463271.99037827
2014-11-24,525.00000048,535.20623799,523.99377548,534.38751299,11047439.98984108
2014-11-25,536.87500049,539.9937755,530.75000049,537.90002549,14886575.98631072
2014-11-26,537.50000049,539.7125255,533.95001299,537.55627549,7930799.99270706
2014-11-27,540.237488,547.049988,539.0000005,545.737488,17389031.98400953
2014-11-28,546.262513,549.75000051,542.924988,544.981263,14347263.98680666
2014-12-01,548.3750005,550.27502551,536.57501299,543.731263,18341863.98313334
2014-12-02,541.2375,541.2375,528.75,531.650025,10654992.0
2014-12-03,525.375,533.2375,521.1375,530.875,12775044.0
2014-12-04,527.5,536.224975,523.75,525.45,9399228.0
2014-12-05,528.75,529.150025,514.95,517.575,7358760.0
2014-12-08,502.25,504.75,489.4375,492.5375,166320400.0
2014-12-09,495.6875,496.5,488.1125,491.2,10050460.0
2014-12-10,491.5,496.25,489.775,490.9375,7804712.0
2014-12-11,487.75,488.4875,478.75,480.2625,8285932.0
2014-12-12,484.7625,490.1,479.525,484.6625,14572500.0
2014-12-15,476.2375,489.3125,476.225,481.2,12966284.0
2014-12-16,481.425,487.9,481.425,484.5,17792756.0
2014-12-17,484.0,488.875,474.075,484.625,17851776.0
2014-12-18,488.5,495.45,486.1875,491.475,19949980.0
2014-12-19,499.4,502.0,496.5,499.6625,14294632.0
2014-12-22,501.5,502.525,493.8375,499.9,10465104.0
2014-12-23,500.2125,505.475,490.9,492.9125,8196952.0
2014-12-24,494.0,496.75,478.7625,482.6375,27339488.0
2014-12-26,486.275,490.175,482.7375,488.0625,2268748.0
2014-12-29,489.0125,493.2,488.125,489.45,2792676.0
2014-12-30,490.5625,493.75,489.2,491.5875,4640552.0
2014-12-31,488.75,494.7375,487.5,493.1375,6968808.0
2015-01-01,492.2375,495.5,489.225,493.6,2002764.0
2015-01-02,493.0,504.7625,493.0,503.3,6778320.0
2015-01-05,502.475,507.5,494.375,498.975,9937024.0
2015-01-06,495.0,496.25,483.525,488.55,9667316.0
2015-01-07,491.25,493.6875,487.5,490.8875,7249916.0
2015-01-08,496.4,499.25,487.5,493.3625,13564920.0
2015-01-09,495.025,527.25,478.2625,518.6125,44863320.0
2015-01-12,523.0,529.8,518.75,528.9875,12758888.0
2015-01-13,526.95,526.95,518.75,522.224975,8801236.0
2015-01-14,524.625,533.25,523.150025,532.162475,9921260.0
2015-01-15,533.8,538.2,528.0625,533.5625,8342452.0
2015-01-16,537.0,540.0,528.0,529.575,6690960.0
2015-01-19,530.0,533.087525,523.650025,525.625,4087744.0
2015-01-20,526.75,533.25,525.3625,531.05,6804504.0
2015-01-21,532.875,543.9875,529.5,542.474975,8494908.0
2015-01-22,543.7,550.75,540.325,549.1125,9958396.0
2015-01-23,550.0,556.25,541.275025,553.7625,9486328.0
2015-01-27,555.25,555.25,532.525025,534.125,13739968.0
2015-01-28,537.5,538.7,532.575,536.1375,13134356.0
2015-01-29,536.25,537.474975,531.900025,536.375,15369424.0
2015-01-30,540.375,540.6375,531.7375,535.474975,10833744.0
2015-02-02,535.375,538.0,531.5125,534.212525,8702540.0
2015-02-03,534.212525,534.9875,525.5,530.224975,5265956.0
2015-02-04,534.974975,537.5,531.599975,535.712525,5160016.0
2015-02-05,537.7,555.0,537.0,548.45,11875936.0
