step,actor_loss,critic_loss,actor_grad_norm,weight_mean,weight_std
33,0.000000,0.000000,0.0000,0.0000,0.0000
34,0.000000,0.000000,0.0000,0.0000,0.0000
35,0.000000,0.000000,0.0000,0.0000,0.0000
36,0.000000,0.000000,0.0000,0.0000,0.0000
37,0.000000,0.000000,0.0000,0.0000,0.0000
38,0.000000,0.000000,0.0000,0.0000,0.0000
39,0.000000,0.000000,0.0000,0.0000,0.0000
40,0.000000,0.000000,0.0000,0.0000,0.0000
41,0.000000,0.000000,0.0000,0.0000,0.0000
42,0.000000,0.000000,0.0000,0.0000,0.0000
43,0.000000,0.000000,0.0000,0.0000,0.0000
44,0.000000,0.000000,0.0000,0.0000,0.0000
45,0.000000,0.000000,0.0000,0.0000,0.0000
46,0.000000,0.000000,0.0000,0.0000,0.0000
47,0.000000,0.000000,0.0000,0.0000,0.0000
48,0.000000,0.000000,0.0000,0.0000,0.0000
49,0.000000,0.000000,0.0000,0.0000,0.0000
