date,step,ticker,action,shares,price,value,commission
2015-09-10T00:00:00.000000000,0,NSE_ABB,BUY,907,1046.82,949465.69,949.47
2015-09-10T00:00:00.000000000,0,NSE_BAJAJ_AUTO,BUY,423,2240.00,947520.00,947.52
2015-09-10T00:00:00.000000000,0,NSE_BEL,BUY,28456,33.38,949967.69,949.97
2015-09-10T00:00:00.000000000,0,NSE_CIPLA,BUY,1464,649.00,950136.00,950.14
2015-09-10T00:00:00.000000000,0,NSE_JSWSTEEL,BUY,9823,96.65,949392.96,949.39
2015-09-10T00:00:00.000000000,0,NSE_ONGC,BUY,6238,152.33,950254.35,950.25
2015-09-10T00:00:00.000000000,0,NSE_PIDILITIND,BUY,3455,275.00,950125.00,950.12
2015-09-10T00:00:00.000000000,0,NSE_RELIANCE,BUY,4909,193.57,950257.04,950.26
2015-09-10T00:00:00.000000000,0,NSE_SOLARINDS,BUY,1366,695.00,949370.00,949.37
2015-09-10T00:00:00.000000000,0,NSE_TRENT,BUY,8036,118.18,949694.48,949.69
2015-09-11T00:00:00.000000000,1,NSE_ABB,BUY,12,1047.72,12572.60,12.57
2015-09-11T00:00:00.000000000,1,NSE_BAJAJ_AUTO,SELL,-10,2327.00,-23270.00,23.27
2015-09-11T00:00:00.000000000,1,NSE_BEL,SELL,-929,35.00,-32514.90,32.51
2015-09-11T00:00:00.000000000,1,NSE_CIPLA,SELL,-4,660.00,-2640.00,2.64
2015-09-11T00:00:00.000000000,1,NSE_JSWSTEEL,SELL,-38,98.40,-3739.39,3.74
2015-09-11T00:00:00.000000000,1,NSE_ONGC,BUY,84,152.43,12804.39,12.80
2015-09-11T00:00:00.000000000,1,NSE_PIDILITIND,SELL,-74,285.08,-21095.55,21.10
2015-09-11T00:00:00.000000000,1,NSE_RELIANCE,BUY,8,196.05,1568.38,1.57
2015-09-11T00:00:00.000000000,1,NSE_SOLARINDS,BUY,35,687.02,24045.70,24.05
2015-09-11T00:00:00.000000000,1,NSE_TRENT,BUY,132,117.91,15564.12,15.56
2015-09-14T00:00:00.000000000,2,NSE_ABB,BUY,12,1040.54,12486.49,12.49
2015-09-14T00:00:00.000000000,2,NSE_BAJAJ_AUTO,SELL,-1,2345.00,-2345.00,2.35
2015-09-14T00:00:00.000000000,2,NSE_BEL,BUY,257,34.85,8956.04,8.96
2015-09-14T00:00:00.000000000,2,NSE_CIPLA,BUY,19,654.75,12440.25,12.44
2015-09-14T00:00:00.000000000,2,NSE_JSWSTEEL,BUY,92,98.02,9017.84,9.02
2015-09-14T00:00:00.000000000,2,NSE_PIDILITIND,BUY,37,283.50,10489.50,10.49
2015-09-14T00:00:00.000000000,2,NSE_RELIANCE,BUY,83,193.74,16080.68,16.08
2015-09-14T00:00:00.000000000,2,NSE_SOLARINDS,SELL,-56,719.80,-40308.80,40.31
2015-09-14T00:00:00.000000000,2,NSE_TRENT,SELL,-230,121.96,-28049.65,28.05
2015-09-15T00:00:00.000000000,3,NSE_ABB,BUY,2,1032.47,2064.94,2.06
2015-09-15T00:00:00.000000000,3,NSE_BAJAJ_AUTO,BUY,4,2315.00,9260.00,9.26
2015-09-15T00:00:00.000000000,3,NSE_BEL,BUY,1244,33.18,41278.10,41.28
2015-09-15T00:00:00.000000000,3,NSE_CIPLA,SELL,-32,665.95,-21310.40,21.31
2015-09-15T00:00:00.000000000,3,NSE_JSWSTEEL,SELL,-236,99.85,-23564.60,23.56
2015-09-15T00:00:00.000000000,3,NSE_ONGC,SELL,-32,153.27,-4904.53,4.90
2015-09-15T00:00:00.000000000,3,NSE_PIDILITIND,SELL,-65,287.50,-18687.50,18.69
2015-09-15T00:00:00.000000000,3,NSE_RELIANCE,SELL,-30,193.80,-5813.98,5.81
2015-09-15T00:00:00.000000000,3,NSE_SOLARINDS,BUY,4,713.99,2855.96,2.86
2015-09-15T00:00:00.000000000,3,NSE_TRENT,BUY,185,118.61,21941.93,21.94
2015-09-16T00:00:00.000000000,4,NSE_ABB,BUY,20,1004.62,20092.31,20.09
2015-09-16T00:00:00.000000000,4,NSE_BAJAJ_AUTO,SELL,-1,2305.10,-2305.10,2.31
2015-09-16T00:00:00.000000000,4,NSE_BEL,SELL,-291,33.30,-9689.84,9.69
2015-09-16T00:00:00.000000000,4,NSE_CIPLA,BUY,3,660.20,1980.60,1.98
2015-09-16T00:00:00.000000000,4,NSE_JSWSTEEL,BUY,355,95.70,33973.50,33.97
2015-09-16T00:00:00.000000000,4,NSE_ONGC,SELL,-116,155.20,-18003.18,18.00
2015-09-16T00:00:00.000000000,4,NSE_PIDILITIND,BUY,11,284.58,3130.33,3.13
2015-09-16T00:00:00.000000000,4,NSE_RELIANCE,SELL,-89,196.07,-17450.23,17.45
2015-09-16T00:00:00.000000000,4,NSE_SOLARINDS,BUY,8,704.69,5637.52,5.64
2015-09-16T00:00:00.000000000,4,NSE_TRENT,SELL,-121,119.58,-14469.18,14.47
2015-09-18T00:00:00.000000000,5,NSE_ABB,BUY,5,1004.62,5023.08,5.02
2015-09-18T00:00:00.000000000,5,NSE_BAJAJ_AUTO,SELL,-10,2375.00,-23750.00,23.75
2015-09-18T00:00:00.000000000,5,NSE_BEL,BUY,159,33.29,5292.76,5.29
2015-09-18T00:00:00.000000000,5,NSE_CIPLA,SELL,-7,667.00,-4669.00,4.67
2015-09-18T00:00:00.000000000,5,NSE_ONGC,BUY,79,154.07,12171.25,12.17
2015-09-18T00:00:00.000000000,5,NSE_PIDILITIND,BUY,53,281.67,14928.77,14.93
2015-09-18T00:00:00.000000000,5,NSE_RELIANCE,SELL,-9,197.50,-1777.48,1.78
2015-09-18T00:00:00.000000000,5,NSE_SOLARINDS,SELL,-3,710.20,-2130.60,2.13
2015-09-18T00:00:00.000000000,5,NSE_TRENT,SELL,-68,121.20,-8241.60,8.24
2015-09-21T00:00:00.000000000,6,NSE_ABB,BUY,1,1000.18,1000.18,1.00
2015-09-21T00:00:00.000000000,6,NSE_BAJAJ_AUTO,BUY,16,2275.00,36400.00,36.40
2015-09-21T00:00:00.000000000,6,NSE_CIPLA,BUY,38,648.00,24624.00,24.62
2015-09-21T00:00:00.000000000,6,NSE_JSWSTEEL,BUY,253,93.51,23658.03,23.66
2015-09-21T00:00:00.000000000,6,NSE_ONGC,SELL,-143,157.20,-22479.58,22.48
2015-09-21T00:00:00.000000000,6,NSE_PIDILITIND,BUY,9,280.05,2520.45,2.52
2015-09-21T00:00:00.000000000,6,NSE_RELIANCE,SELL,-24,197.85,-4748.31,4.75
2015-09-21T00:00:00.000000000,6,NSE_SOLARINDS,SELL,-4,710.20,-2840.80,2.84
2015-09-21T00:00:00.000000000,6,NSE_TRENT,SELL,-455,128.20,-58331.00,58.33
2015-09-22T00:00:00.000000000,7,NSE_ABB,BUY,3,1006.41,3019.23,3.02
2015-09-22T00:00:00.000000000,7,NSE_BAJAJ_AUTO,SELL,-7,2332.90,-16330.30,16.33
