ticker,selected_days,first_selected,last_selected
JSWSTEEL,1754,2016-02-22T00:00:00.000000000,2025-10-31T00:00:00.000000000
ADANIPOWER,1646,2015-10-26T00:00:00.000000000,2025-10-31T00:00:00.000000000
BAJFINANCE,1616,2015-07-06T00:00:00.000000000,2025-10-31T00:00:00.000000000
KOTAKBANK,1489,2017-05-31T00:00:00.000000000,2025-10-31T00:00:00.000000000
INDIGO,1481,2016-05-18T00:00:00.000000000,2025-05-27T00:00:00.000000000
HAVELLS,1310,2016-04-11T00:00:00.000000000,2025-10-31T00:00:00.000000000
DMART,1289,2018-05-18T00:00:00.000000000,2025-10-24T00:00:00.000000000
ICICIBANK,1266,2019-12-09T00:00:00.000000000,2025-10-31T00:00:00.000000000
TITAN,1177,2018-05-14T00:00:00.000000000,2025-10-31T00:00:00.000000000
SHREECEM,826,2015-11-26T00:00:00.000000000,2023-08-09T00:00:00.000000000
HINDALCO,797,2016-06-21T00:00:00.000000000,2024-04-19T00:00:00.000000000
LODHA,697,2021-12-17T00:00:00.000000000,2025-08-07T00:00:00.000000000
ADANIPORTS,520,2018-05-08T00:00:00.000000000,2021-06-29T00:00:00.000000000
TVSMOTOR,477,2015-10-13T00:00:00.000000000,2025-10-17T00:00:00.000000000
ADANIENT,448,2015-10-19T00:00:00.000000000,2025-07-28T00:00:00.000000000
MOTHERSON,434,2015-07-06T00:00:00.000000000,2018-04-02T00:00:00.000000000
ADANIGREEN,397,2019-02-20T00:00:00.000000000,2025-10-31T00:00:00.000000000
VEDL,385,2015-10-19T00:00:00.000000000,2025-10-07T00:00:00.000000000
VBL,364,2018-05-02T00:00:00.000000000,2024-05-27T00:00:00.000000000
ICICIGI,345,2019-05-30T00:00:00.000000000,2025-10-31T00:00:00.000000000
CGPOWER,344,2015-11-13T00:00:00.000000000,2020-08-17T00:00:00.000000000
TATASTEEL,332,2016-07-26T00:00:00.000000000,2025-03-06T00:00:00.000000000
BPCL,303,2015-12-29T00:00:00.000000000,2018-04-18T00:00:00.000000000
JINDALSTEL,292,2016-08-24T00:00:00.000000000,2025-10-17T00:00:00.000000000
BAJAJFINSV,287,2015-07-06T00:00:00.000000000,2021-12-16T00:00:00.000000000
INDHOTEL,232,2016-03-10T00:00:00.000000000,2018-04-24T00:00:00.000000000
COALINDIA,231,2016-01-04T00:00:00.000000000,2020-04-17T00:00:00.000000000
TATACONSUM,206,2015-09-16T00:00:00.000000000,2024-08-22T00:00:00.000000000
IOC,201,2015-09-10T00:00:00.000000000,2017-11-15T00:00:00.000000000
BHARTIARTL,200,2015-09-10T00:00:00.000000000,2020-08-27T00:00:00.000000000
TRENT,187,2015-09-04T00:00:00.000000000,2025-08-07T00:00:00.000000000
ASIANPAINT,185,2015-07-28T00:00:00.000000000,2017-11-15T00:00:00.000000000
DLF,184,2017-05-15T00:00:00.000000000,2021-09-30T00:00:00.000000000
BRITANNIA,182,2015-12-14T00:00:00.000000000,2018-10-11T00:00:00.000000000
HINDZINC,182,2015-12-22T00:00:00.000000000,2017-11-27T00:00:00.000000000
GODREJCP,176,2015-10-30T00:00:00.000000000,2016-07-29T00:00:00.000000000
AMBUJACEM,172,2016-05-30T00:00:00.000000000,2018-02-16T00:00:00.000000000
SUNPHARMA,164,2015-07-06T00:00:00.000000000,2016-12-27T00:00:00.000000000
RECLTD,164,2016-09-29T00:00:00.000000000,2017-06-21T00:00:00.000000000
WIPRO,163,2015-07-06T00:00:00.000000000,2019-06-21T00:00:00.000000000
POWERGRID,156,2016-06-21T00:00:00.000000000,2019-04-23T00:00:00.000000000
ULTRACEMCO,152,2015-07-10T00:00:00.000000000,2017-10-24T00:00:00.000000000
ABB,148,2015-07-06T00:00:00.000000000,2018-02-05T00:00:00.000000000
BAJAJHLDNG,146,2016-01-04T00:00:00.000000000,2018-05-23T00:00:00.000000000
NAUKRI,144,2015-08-31T00:00:00.000000000,2025-01-03T00:00:00.000000000
RELIANCE,116,2015-08-31T00:00:00.000000000,2018-01-17T00:00:00.000000000
GRASIM,108,2015-07-16T00:00:00.000000000,2021-03-18T00:00:00.000000000
ONGC,108,2016-09-12T00:00:00.000000000,2017-03-07T00:00:00.000000000
DIVISLAB,107,2015-07-10T00:00:00.000000000,2016-04-04T00:00:00.000000000
CANBK,96,2016-09-06T00:00:00.000000000,2017-08-07T00:00:00.000000000
GAIL,90,2015-07-28T00:00:00.000000000,2017-02-22T00:00:00.000000000
BAJAJHFL,84,2025-03-20T00:00:00.000000000,2025-09-30T00:00:00.000000000
ITC,76,2015-09-10T00:00:00.000000000,2018-04-24T00:00:00.000000000
TECHM,76,2024-01-12T00:00:00.000000000,2025-10-13T00:00:00.000000000
HDFCBANK,67,2015-08-07T00:00:00.000000000,2018-04-30T00:00:00.000000000
PNB,64,2016-10-13T00:00:00.000000000,2017-08-18T00:00:00.000000000
CIPLA,48,2015-07-06T00:00:00.000000000,2015-10-23T00:00:00.000000000
BANKBARODA,48,2017-03-21T00:00:00.000000000,2017-06-09T00:00:00.000000000
TORNTPHARM,44,2015-07-06T00:00:00.000000000,2016-09-22T00:00:00.000000000
NESTLEIND,43,2015-12-08T00:00:00.000000000,2020-04-09T00:00:00.000000000
APOLLOHOSP,40,2016-03-10T00:00:00.000000000,2017-03-07T00:00:00.000000000
SHRIRAMFIN,40,2016-07-20T00:00:00.000000000,2016-09-28T00:00:00.000000000
ETERNAL,37,2022-01-27T00:00:00.000000000,2025-10-31T00:00:00.000000000
SOLARINDS,36,2015-08-25T00:00:00.000000000,2015-12-28T00:00:00.000000000
JSWENERGY,36,2016-03-16T00:00:00.000000000,2017-04-19T00:00:00.000000000
UNITDSPR,36,2025-05-16T00:00:00.000000000,2025-07-04T00:00:00.000000000
INFY,34,2015-07-16T00:00:00.000000000,2016-03-29T00:00:00.000000000
NTPC,28,2017-11-28T00:00:00.000000000,2018-01-11T00:00:00.000000000
M&M,24,2015-07-06T00:00:00.000000000,2015-10-23T00:00:00.000000000
PIDILITIND,23,2016-01-19T00:00:00.000000000,2017-11-21T00:00:00.000000000
AXISBANK,20,2015-07-16T00:00:00.000000000,2015-08-24T00:00:00.000000000
SIEMENS,20,2017-08-02T00:00:00.000000000,2019-03-08T00:00:00.000000000
BEL,16,2015-07-06T00:00:00.000000000,2017-04-12T00:00:00.000000000
MARUTI,12,2015-10-13T00:00:00.000000000,2015-11-18T00:00:00.000000000
CHOLAFIN,12,2023-07-19T00:00:00.000000000,2023-08-03T00:00:00.000000000
PFC,8,2015-07-10T00:00:00.000000000,2015-07-27T00:00:00.000000000
BOSCHLTD,8,2016-05-24T00:00:00.000000000,2017-12-07T00:00:00.000000000
EICHERMOT,8,2018-07-09T00:00:00.000000000,2018-08-16T00:00:00.000000000
HDFCLIFE,8,2019-10-29T00:00:00.000000000,2020-05-12T00:00:00.000000000
ZYDUSLIFE,4,2015-08-25T00:00:00.000000000,2015-08-28T00:00:00.000000000
DRREDDY,4,2016-02-04T00:00:00.000000000,2016-02-09T00:00:00.000000000
HINDUNILVR,4,2016-03-22T00:00:00.000000000,2016-03-29T00:00:00.000000000
HCLTECH,4,2016-04-05T00:00:00.000000000,2016-04-08T00:00:00.000000000
TCS,4,2016-10-25T00:00:00.000000000,2016-10-28T00:00:00.000000000
BAJAJ-AUTO,4,2017-05-19T00:00:00.000000000,2017-05-24T00:00:00.000000000
TATAPOWER,4,2021-03-15T00:00:00.000000000,2021-03-18T00:00:00.000000000
