step,phase,actor_loss,critic_loss,actor_grad_norm,weight_mean,weight_std
32,train,-0.002264,0.313334,0.0,0.0046,0.0204
33,train,-0.002917,0.306908,0.0,0.0046,0.0204
34,train,-0.003652,0.304721,0.0,0.0046,0.0204
35,train,-0.004319,0.293266,0.0,0.0046,0.0204
36,train,-0.004962,0.326280,0.0,0.0046,0.0204
37,train,-0.005406,0.347925,0.0,0.0046,0.0204
38,train,-0.005542,0.392558,0.0,0.0046,0.0204
39,train,-0.005736,0.409659,0.0,0.0046,0.0204
40,train,-0.005731,0.382240,0.0,0.0046,0.0205
41,train,-0.005623,0.410761,0.0,0.0047,0.0205
42,train,-0.005528,0.346568,0.0,0.0046,0.0204
43,train,-0.005391,0.412642,0.0,0.0046,0.0205
44,train,-0.004664,0.366325,0.0,0.0046,0.0204
45,train,-0.003841,0.421325,0.0,0.0046,0.0205
46,train,-0.003093,0.396996,0.0,0.0046,0.0204
47,train,-0.002046,0.345409,0.0,0.0046,0.0204
48,train,-0.000477,0.406660,0.0,0.0046,0.0204
49,train,0.001270,0.391261,0.0,0.0047,0.0206
50,train,0.003382,0.359622,0.0,0.0046,0.0204
51,train,0.005304,0.290213,0.0,0.0046,0.0205
52,train,0.007444,0.456544,0.0,0.0046,0.0204
53,train,0.009638,0.445466,0.0,0.0046,0.0204
54,train,0.011765,0.387247,0.0,0.0046,0.0204
55,train,0.014264,0.345445,0.0,0.0046,0.0204
56,train,0.017031,0.404211,0.0,0.0046,0.0204
57,train,0.019851,0.442406,0.0,0.0047,0.0205
58,train,0.022899,0.341981,0.0,0.0046,0.0205
59,train,0.026448,0.378373,0.0,0.0046,0.0205
60,train,0.030228,0.466349,0.0,0.0047,0.0205
61,train,0.034231,0.350312,0.0,0.0047,0.0205
62,train,0.039044,0.361714,0.0,0.0046,0.0205
63,train,0.043264,0.378552,0.0,0.0047,0.0206
64,train,0.046897,0.445820,0.0,0.0047,0.0207
65,train,0.051158,0.332116,0.0,0.0046,0.0204
66,train,0.054376,0.267708,0.0,0.0046,0.0204
