date,step,ticker,action,shares,buy_shares,sell_shares,price,value,commission,avg_cost_before,avg_cost_after,realized_pnl,position_after
2015-07-06T00:00:00.000000000,0,ADANIPOWER,BUY,165816,165816,0,5.73,950125.68,950.13,0.0000,5.7357,0.00,165816
2015-07-06T00:00:00.000000000,0,BAJAJFINSV,BUY,5704,5704,0,166.52,949803.65,949.80,0.0000,166.6819,0.00,5704
2015-07-06T00:00:00.000000000,0,BRITANNIA,BUY,803,803,0,1182.03,949170.80,949.17,0.0000,1183.2129,0.00,803
2015-07-06T00:00:00.000000000,0,CHOLAFIN,BUY,7612,7612,0,124.81,950018.39,950.02,0.0000,124.9302,0.00,7612
2015-07-06T00:00:00.000000000,0,GAIL,BUY,19807,19807,0,47.96,949881.22,949.88,0.0000,48.0048,0.00,19807
2015-07-06T00:00:00.000000000,0,GODREJCP,BUY,2539,2539,0,374.05,949700.52,949.70,0.0000,374.4192,0.00,2539
2015-07-06T00:00:00.000000000,0,HINDALCO,BUY,9486,9486,0,100.16,950088.19,950.09,0.0000,100.2570,0.00,9486
2015-07-06T00:00:00.000000000,0,ICICIBANK,BUY,3620,3620,0,262.41,949910.07,949.91,0.0000,262.6685,0.00,3620
2015-07-06T00:00:00.000000000,0,SBIN,BUY,3998,3998,0,237.56,949773.29,949.77,0.0000,237.7997,0.00,3998
2015-07-06T00:00:00.000000000,0,WIPRO,BUY,10481,10481,0,90.63,949884.29,949.88,0.0000,90.7198,0.00,10481
2015-07-07T00:00:00.000000000,1,ADANIPOWER,SELL,-4715,0,4715,6.03,-28431.45,28.43,5.7357,5.7357,1359.05,161101
2015-07-07T00:00:00.000000000,1,BAJAJFINSV,SELL,-45,0,45,171.51,-7717.76,7.72,166.6819,166.6819,209.36,5659
2015-07-07T00:00:00.000000000,1,BRITANNIA,SELL,-4,0,4,1213.74,-4854.97,4.85,1183.2129,1183.2129,117.26,799
2015-07-07T00:00:00.000000000,1,CHOLAFIN,SELL,-294,0,294,132.65,-38998.77,39.00,124.9302,124.9302,2230.30,7318
2015-07-07T00:00:00.000000000,1,GAIL,BUY,162,162,0,48.62,7875.85,7.88,48.0048,48.0102,0.00,19969
2015-07-07T00:00:00.000000000,1,GODREJCP,BUY,82,82,0,370.37,30370.50,30.37,374.4192,374.3041,0.00,2621
2015-07-07T00:00:00.000000000,1,HINDALCO,BUY,147,147,0,100.80,14818.31,14.82,100.2570,100.2669,0.00,9633
