ticker,buy_trades,sell_trades,buy_shares,sell_shares,net_shares,gross_buy_value,gross_sell_value,commission,realized_pnl
ABB,153,153,148835,148835,0,168277918.42,168399110.87,0.00,121110.89
ADANIENT,172,172,2087047,2087047,0,186708957.40,187539958.36,0.00,830528.01
ADANIGREEN,59,59,592624,592624,0,76314396.80,77264386.55,0.00,949989.82
ADANIPORTS,144,144,460506,460506,0,154845567.22,154572997.31,0.00,-272524.88
ADANIPOWER,161,161,23812752,23812752,0,174480229.03,174257136.98,0.00,-223091.90
AMBUJACEM,172,172,908486,908486,0,186354491.25,186627978.62,0.00,273420.32
APOLLOHOSP,163,163,127306,127306,0,176624358.00,176449740.77,0.00,-174677.19
ASIANPAINT,160,160,140628,140628,0,187602082.51,187295659.72,0.00,-306405.01
AXISBANK,146,146,292151,292151,0,159794938.64,160283486.26,0.00,488608.61
BAJAJ-AUTO,171,171,80379,80379,0,203521983.11,204812900.27,0.00,1290945.13
BAJAJFINSV,131,131,308968,308968,0,142127124.21,141969380.01,0.00,-157555.21
BAJAJHFL,3,3,125617,125617,0,11438517.35,10958655.44,0.00,-479861.89
BAJAJHLDNG,160,160,78419,78419,0,175271634.85,176007162.63,0.00,735552.80
BAJFINANCE,143,143,975834,975834,0,156150119.92,156220383.28,0.00,70117.93
BANKBARODA,143,143,1877115,1877115,0,160976893.90,161203635.81,0.00,227905.08
BEL,157,157,5285545,5285545,0,175108953.67,175113906.21,0.00,7229.40
BHARTIARTL,192,191,585957,584111,1846,241091595.58,238783615.11,0.00,1479922.17
BOSCHLTD,169,169,12189,12189,0,189170953.16,189163698.14,0.00,-7254.05
BPCL,179,179,1768155,1768155,0,219867339.66,222239141.11,0.00,2373074.44
BRITANNIA,185,185,98405,98405,0,234203794.37,235278152.27,0.00,1074406.13
CANBK,170,170,5751333,5751333,0,182117276.66,182275366.48,0.00,153176.44
CGPOWER,156,156,6011084,6011084,0,170768131.64,171823925.00,0.00,1052608.61
CHOLAFIN,156,156,745963,745963,0,160143920.70,160488901.60,0.00,344656.26
CIPLA,190,189,370967,368230,2737,221942647.40,218770368.96,0.00,-40259.35
COALINDIA,168,168,1652344,1652344,0,188100859.03,188666951.97,0.00,566987.77
DIVISLAB,151,151,126422,126422,0,165404995.01,165655821.06,0.00,250829.44
DLF,163,163,1082542,1082542,0,178995211.78,178740653.94,0.00,-254054.43
DMART,90,90,63581,63581,0,125064729.45,123684320.50,0.00,-1380408.53
DRREDDY,168,167,312230,309522,2708,209980130.67,207710189.63,0.00,1323582.46
EICHERMOT,151,151,77270,77270,0,166973624.93,167012325.30,0.00,38767.43
GAIL,169,169,3048092,3048092,0,196336356.91,197040909.46,0.00,702649.77
GODREJCP,160,160,312659,312659,0,206516155.59,206191228.27,0.00,-324854.07
GRASIM,159,159,214205,214205,0,167891287.09,168529638.70,0.00,638334.89
HAL,64,64,239680,239680,0,83223045.24,83521192.53,0.00,297874.12
HAVELLS,143,143,310401,310401,0,151235066.02,151364255.70,0.00,129136.41
HCLTECH,160,159,428725,426248,2477,214469523.92,211180509.20,0.00,630974.63
HDFCBANK,151,151,389980,389980,0,161384533.85,161475319.95,0.00,90871.37
HDFCLIFE,75,75,179307,179307,0,90634219.30,90666080.79,0.00,31906.41
HINDALCO,179,179,1168803,1168803,0,196702927.49,196597371.30,0.00,-106160.54
HINDUNILVR,167,166,140727,139773,954,196322646.26,194367992.28,0.00,240275.78
HINDZINC,164,164,1582206,1582206,0,174764512.89,174747461.78,0.00,-17113.64
ICICIBANK,182,182,619245,619245,0,199812355.99,200209545.90,0.00,396928.70
ICICIGI,84,84,99178,99178,0,111702374.81,112452448.77,0.00,750123.92
INDHOTEL,153,153,1488692,1488692,0,161973843.88,161905094.57,0.00,-68559.41
INDIGO,146,146,140005,140005,0,163252844.95,163171041.52,0.00,-81858.92
INFY,128,128,255787,255787,0,136367483.29,136934160.46,0.00,566622.56
IOC,156,156,3591475,3591475,0,191204799.88,192904784.05,0.00,1701860.42
IRFC,4,4,432865,432865,0,8757765.46,8867819.83,0.00,110273.25
ITC,185,184,1217113,1205737,11376,223963242.01,221068965.79,0.00,703157.35
JINDALSTEL,163,163,1306263,1306263,0,183604204.46,183710379.25,0.00,107245.13
JSWENERGY,154,154,2550528,2550528,0,168681429.17,169191526.30,0.00,509980.63
JSWSTEEL,149,149,807196,807196,0,157438492.20,157430681.86,0.00,-7445.94
KOTAKBANK,140,140,687817,687817,0,149642189.07,149761758.88,0.00,119673.03
LICI,3,3,12989,12989,0,10985482.25,10862439.00,0.00,-123043.30
LT,155,154,164704,163817,887,195734235.96,193552298.64,0.00,1429931.10
M&M,158,158,273318,273318,0,163521446.21,163934978.64,0.00,413546.94
MARUTI,191,190,36768,36517,251,236913392.06,233275900.31,0.00,103163.52
MAXHEALTH,17,17,115161,115161,0,44502620.90,45557942.18,0.00,1055202.00
MAZDOCK,4,4,74191,74191,0,7635215.86,7473026.80,0.00,-162323.98
MOTHERSON,136,136,3912259,3912259,0,148207345.08,148612050.27,0.00,403457.97
NAUKRI,139,139,565700,565700,0,148078466.01,149194975.74,0.00,1116659.12
NESTLEIND,173,173,451003,451003,0,221909197.71,222515612.96,0.00,606385.32
NTPC,190,190,2517041,2517041,0,222941864.73,223432756.23,0.00,491900.22
ONGC,179,180,2388490,2388490,0,205330169.65,207753306.61,0.00,2423708.11
PFC,159,159,3282549,3282549,0,173157172.59,173449992.35,0.00,293869.52
PIDILITIND,159,159,360975,360975,0,180300916.71,180641372.89,0.00,340403.12
PNB,176,176,3207890,3207890,0,190476579.37,190578131.80,0.00,101530.27
POWERGRID,168,168,2601159,2601159,0,186077472.70,186349117.54,0.00,272320.05
RECLTD,155,155,3220611,3220611,0,170205285.06,170475131.55,0.00,271361.61
RELIANCE,170,170,456915,456915,0,182975505.50,182724023.11,0.00,-251386.99
SBILIFE,106,106,175767,175767,0,146223992.24,146923597.37,0.00,699619.98
SBIN,171,171,755557,755557,0,185912263.54,186213839.38,0.00,301481.66
