Date,Open,High,Low,Close,Volume
2015-01-01,8280.5498046875,8305.599609375,8259.5,8295.5498046875,992000
2015-01-02,8300.4501953125,8416.4501953125,8300.4501953125,8399.900390625,1670100
2015-01-05,8411.75,8453.349609375,8370.7998046875,8383.349609375,1764200
2015-01-06,8331.650390625,8331.650390625,8119.39990234375,8133.89990234375,2539000
2015-01-07,8127.35009765625,8160.0498046875,8070.0,8112.35009765625,2391600
2015-01-08,8200.2001953125,8254.400390625,8181.2001953125,8248.7998046875,2226900
2015-01-09,8300.599609375,8317.25,8209.7001953125,8288.9501953125,2323400
2015-01-12,8295.9501953125,8334.9501953125,8254.0,8327.0498046875,1640600
2015-01-13,8350.7998046875,8362.7001953125,8275.25,8305.2998046875,2061300
2015-01-14,8315.5,8335.9501953125,8247.400390625,8286.4501953125,2327900
2015-01-15,8428.650390625,8519.400390625,8391.7998046875,8486.2001953125,3318200
2015-01-16,8496.150390625,8525.0498046875,8448.599609375,8512.0,2566100
2015-01-19,8545.2001953125,8570.900390625,8534.400390625,8548.2998046875,1926100
2015-01-20,8573.099609375,8684.9501953125,8573.099609375,8673.099609375,2303400
2015-01-21,8697.7998046875,8719.4501953125,8666.099609375,8705.0,2822800
2015-01-22,8718.849609375,8749.150390625,8698.349609375,8734.599609375,2567900
2015-01-23,8801.25,8834.150390625,8765.900390625,8811.650390625,3031600
2015-01-27,8844.650390625,8893.599609375,8799.650390625,8881.0,2762700
2015-01-28,8873.400390625,8958.400390625,8854.099609375,8893.2998046875,2870000
2015-01-29,8881.400390625,8935.849609375,8843.2001953125,8924.2998046875,3701100
2015-01-30,8968.9501953125,8969.650390625,8762.7001953125,8794.9501953125,3869200
2015-02-02,8791.400390625,8831.7001953125,8748.349609375,8798.2001953125,3083900
2015-02-03,8825.599609375,8838.7001953125,8729.9501953125,8751.2998046875,3063700
2015-02-04,8784.0498046875,8785.5,8694.849609375,8713.9501953125,3029600
2015-02-05,8722.4501953125,8812.849609375,8661.7998046875,8688.4501953125,2731800
2015-02-06,8677.400390625,8705.0498046875,8624.0498046875,8637.75,2629000
2015-02-09,8563.400390625,8579.5498046875,8490.650390625,8500.400390625,2305800
2015-02-10,8454.849609375,8627.0498046875,8447.7998046875,8547.7001953125,2974600
2015-02-11,8585.9501953125,8640.650390625,8580.849609375,8623.849609375,2373200
2015-02-12,8674.849609375,8733.0498046875,8608.900390625,8714.75,2505600
2015-02-13,8744.7998046875,8814.650390625,8733.0,8800.2001953125,3113300
2015-02-16,8827.2998046875,8863.0,8780.349609375,8796.349609375,2131500
2015-02-18,8802.0,8875.150390625,8802.0,8854.2998046875,2298500
2015-02-19,8872.5498046875,8890.7998046875,8775.7998046875,8874.849609375,2943400
2015-02-20,8881.349609375,8881.349609375,8804.400390625,8826.349609375,2747200
2015-02-23,8855.0498046875,8862.650390625,8732.2998046875,8749.150390625,2104000
2015-02-24,8766.5498046875,8787.400390625,8718.4501953125,8754.2001953125,2380600
2015-02-25,8794.0498046875,8829.2998046875,8740.7001953125,8756.0,2086300
2015-02-26,8767.0498046875,8771.75,8657.2998046875,8670.9501953125,3511300
