time,open,high,low,close,Volume
2014-11-27,9.2199996,9.3,9.0400002,9.15,16440645
2014-11-28,9.15,9.3300004,9.0900002,9.1199996,16281240
2014-12-01,9.1400002,9.1699996,8.8199996,8.8699996,14874010
2014-12-02,8.8099998,8.9699996,8.7599998,8.8900002,13205350
2014-12-03,8.9,9.1800004,8.9,9.1199996,21146545
2014-12-04,9.1400002,9.2099998,8.8400002,8.9300004,16057725
2014-12-05,8.9400002,9.05,8.8800004,8.9,11303310
2014-12-08,8.8699996,9.0199996,8.7599998,8.9699996,18062935
2014-12-09,8.8800004,9.0900002,8.6199996,8.7199996,16236320
2014-12-10,8.6400002,9.0800004,8.6400002,8.9800004,20382370
2014-12-11,8.9699996,9.0599998,8.8,8.8900002,14315040
2014-12-12,8.9,8.9800004,8.7099998,8.7300004,11853540
2014-12-15,8.7,8.8099998,8.6400002,8.6699996,15630900
2014-12-16,8.6699996,8.7400002,7.9599998,8.0400002,28526280
2014-12-17,8.0400002,8.1599998,7.75,8.0,23328440
2014-12-18,8.1699996,8.35,8.1699996,8.3099998,12679955
2014-12-19,8.3300004,8.5300004,8.3300004,8.4300004,15122115
2014-12-22,8.5,8.5599998,8.4099998,8.5199996,8752940
2014-12-23,8.4900002,8.5900002,8.2300004,8.2800004,13181220
2014-12-24,8.2599998,8.6199996,8.2199996,8.4900002,27549250
2014-12-26,8.4699996,8.6199996,8.4,8.5599998,11746890
2014-12-29,8.5199996,8.75,8.5199996,8.6099998,11580425
2014-12-30,8.6199996,8.9,8.5599998,8.8699996,23430430
2014-12-31,8.9,8.95,8.7599998,8.8599998,17800975
2015-01-01,8.8199996,8.8699996,8.7599998,8.8400002,8951235
2015-01-02,8.8400002,9.0599998,8.8400002,8.9900002,14630215
2015-01-05,9.0,9.2,8.9699996,9.0199996,16182225
2015-01-06,8.95,9.15,8.7099998,8.8099998,29763775
2015-01-07,8.7800004,8.9400002,8.6599998,8.8300004,19100805
2015-01-08,8.9199996,9.1300004,8.8900002,9.0900002,21264565
2015-01-09,9.2,9.2199996,8.8900002,8.95,16436350
2015-01-12,9.0,9.3800004,8.9099998,9.35,33377555
2015-01-13,9.3800004,9.4199996,9.0300004,9.0900002,18434945
2015-01-14,9.0800004,9.2400002,9.0400002,9.1,14434910
2015-01-15,9.2099998,9.3099998,9.1300004,9.1900002,14701470
2015-01-16,9.1900002,9.2599998,9.1099998,9.1599998,12140995
2015-01-19,9.2199996,9.3800004,9.1800004,9.3300004,13396145
2015-01-20,9.3300004,9.3800004,9.2599998,9.3099998,14315425
2015-01-21,9.3099998,9.3400002,9.1400002,9.2,11910835
