time,open,high,low,close,Volume
2014-12-26,732.0,738.0,722.0,727.04999,525701
2014-12-29,728.84998,759.29999,728.84998,757.54999,865233
2014-12-30,761.0,762.90002,745.0,749.95001,732669
2014-12-31,749.75,757.95001,749.09998,752.29999,648847
2015-01-01,751.09998,754.5,747.0,749.15002,284935
2015-01-02,751.25,781.45001,751.25,775.04999,2080850
2015-01-05,779.90002,787.90002,772.70001,775.0,1326999
2015-01-06,775.0,783.0,750.40002,756.5,1510720
2015-01-07,763.40002,778.34998,759.25,771.70001,1427667
2015-01-08,783.79999,822.90002,778.09998,820.34998,2769416
2015-01-09,828.45001,829.0,804.04999,812.5,1708427
2015-01-12,813.04999,818.40002,800.20001,807.75,1320557
2015-01-13,813.0,842.45001,812.09998,833.84998,3835281
2015-01-14,840.0,850.0,830.20001,842.65002,2320114
2015-01-15,849.0,850.0,833.0,839.34998,1308063
2015-01-16,844.90002,859.0,840.0,843.45001,1568660
2015-01-19,846.0,848.0,829.54999,831.90002,1041563
2015-01-20,835.0,847.0,835.0,839.20001,1314139
2015-01-21,845.0,855.90002,839.20001,851.29999,1663391
2015-01-22,856.5,881.65002,852.84998,867.15002,1995155
2015-01-23,870.79999,879.95001,860.09998,862.09998,1531430
2015-01-27,868.90002,892.79999,865.5,890.5,1831293
2015-01-28,893.04999,921.0,891.04999,910.25,2895714
2015-01-29,913.79999,922.5,867.20001,881.29999,5326269
2015-01-30,888.5,888.5,854.09998,857.75,3291034
2015-02-02,850.0,851.09998,803.5,808.09998,4808585
2015-02-03,809.79999,826.5,802.0,814.70001,3048559
2015-02-04,819.79999,823.20001,800.79999,803.84998,912365
2015-02-05,812.0,826.40002,808.0,810.84998,1668101
2015-02-06,810.0,815.0,788.79999,797.65002,1668283
2015-02-09,790.0,822.0,783.40002,803.65002,1910672
2015-02-10,801.90002,829.90002,799.84998,822.20001,2235687
2015-02-11,830.0,845.0,828.0,840.75,1227804
2015-02-12,847.0,849.90002,819.34998,823.75,1974102
2015-02-13,824.34998,834.95001,815.04999,826.75,1323475
2015-02-16,834.0,842.5,818.0,834.15002,1584956
2015-02-18,839.09998,842.0,819.70001,821.04999,1448399
2015-02-19,826.0,838.0,826.0,834.09998,1216904
2015-02-20,834.25,836.09998,823.20001,825.70001,699111
2015-02-23,829.5,833.0,806.09998,809.59998,1434240
2015-02-24,810.0,813.5,798.0,799.54999,1141027
2015-02-25,805.20001,816.0,805.0,813.84998,1537365
2015-02-26,818.79999,819.90002,787.20001,791.90002,1600594
2015-02-27,799.09998,809.09998,796.09998,807.15002,1272026
2015-02-28,812.79999,821.90002,801.04999,818.59998,858985
2015-03-02,823.79999,830.59998,806.0,825.59998,1383141
2015-03-03,829.84998,842.0,827.20001,838.29999,1617826
2015-03-04,844.5,848.20001,832.40002,836.79999,1600601
2015-03-05,837.0,841.54999,828.0,833.90002,694150
2015-03-09,832.5,832.5,808.84998,812.65002,626456
2015-03-10,813.0,818.0,802.0,807.95001,691298
2015-03-11,818.0,819.95001,806.75,809.0,942306
2015-03-12,814.79999,815.0,805.20001,808.09998,979686
2015-03-13,811.90002,818.70001,805.59998,808.40002,837992
2015-03-16,813.0,835.84998,809.0,831.84998,1287189
2015-03-17,839.34998,841.95001,823.0,831.40002,1384999
2015-03-18,835.84998,835.84998,810.0,814.20001,1172762
2015-03-19,824.0,847.84998,821.70001,834.79999,2037801
2015-03-20,836.0,837.0,805.59998,809.95001,1245311
2015-03-23,816.0,816.0,805.5,811.59998,759196
2015-03-24,809.65002,819.5,807.59998,813.29999,755974
2015-03-25,813.79999,817.34998,802.5,808.5,834390
2015-03-26,803.0,815.90002,788.0,793.09998,1516627
2015-03-27,793.0,793.0,768.09998,778.15002,1557785
2015-03-30,780.09998,809.75,780.04999,807.45001,847421
2015-03-31,807.90002,817.0,802.04999,811.29999,947718
2015-04-01,810.0,825.90002,803.5,821.70001,898480
2015-04-06,829.0,831.40002,819.0,824.5,687263
2015-04-07,824.34998,838.79999,821.0,835.20001,769528
2015-04-08,841.0,854.0,840.0,846.84998,982733
2015-04-09,855.0,856.0,841.0,853.15002,1019655
2015-04-10,853.0,861.70001,843.20001,859.45001,802074
2015-04-13,860.0,865.54999,852.40002,862.04999,805167
2015-04-15,861.65002,863.0,835.0,839.04999,1279621
2015-04-16,835.0,836.84998,810.59998,822.25,1366075
2015-04-17,822.25,829.59998,815.0,816.79999,685338
2015-04-20,818.0,819.29999,800.0,808.95001,920198
2015-04-21,813.45001,816.90002,792.0,796.5,652649
2015-04-22,800.0,806.0,769.20001,785.45001,1779318
2015-04-23,793.09998,810.0,785.0,786.40002,1275295
2015-04-24,792.5,792.5,765.04999,771.34998,1123939
2015-04-27,775.0,775.0,740.54999,744.79999,1625216
2015-04-28,741.95001,768.65002,730.0,765.45001,2052761
2015-04-29,763.09998,763.09998,750.0,754.40002,1445757
2015-04-30,749.29999,770.84998,747.20001,762.45001,2260678
2015-05-04,769.84998,781.5,764.0,779.40002,1071772
2015-05-05,780.0,784.84998,768.65002,781.40002,952716
2015-05-06,779.0,779.0,750.15002,760.84998,1616619
2015-05-07,753.29999,773.45001,734.84998,765.75,1718402
2015-05-08,773.0,774.40002,752.75,759.40002,1127201
2015-05-11,768.0,776.20001,751.90002,771.65002,976348
2015-05-12,772.79999,772.84998,754.0,758.34998,1137027
2015-05-13,759.04999,775.0,759.0,762.5,839420
2015-05-14,762.0,803.0,755.0,796.45001,1975784
2015-05-15,802.0,818.0,785.0,790.29999,1503598
2015-05-18,796.84998,818.0,762.0,766.75,6759860
2015-05-19,758.0,779.29999,750.0,774.75,3903935
2015-05-20,775.65002,777.95001,764.15002,771.20001,1793967
2015-05-21,770.0,779.79999,766.04999,777.20001,1678041
2015-05-22,775.0,779.79999,771.20001,775.40002,1039136
2015-05-25,775.95001,778.75,754.40002,761.90002,1282826
2015-05-26,762.09998,769.0,755.54999,763.5,906103
2015-05-27,762.0,762.04999,754.40002,759.25,792609
2015-05-28,760.15002,771.0,758.5,767.34998,1051538
2015-05-29,768.5,795.0,768.0,787.04999,2583950
2015-06-01,787.79999,794.70001,786.29999,789.75,713447
2015-06-02,789.09998,794.29999,756.0,759.20001,1014316
2015-06-03,763.0,767.0,750.0,762.70001,867736
2015-06-04,763.90002,766.0,751.79999,759.59998,820596
2015-06-05,759.0,765.59998,752.0,758.79999,830300
2015-06-08,759.0,760.0,745.0,748.0,795683
2015-06-09,744.79999,751.20001,730.0,735.70001,998511
2015-06-10,736.0,745.09998,734.59998,739.15002,803748
2015-06-11,739.20001,743.70001,702.5,708.40002,1453089
2015-06-12,709.0,722.79999,702.0,705.65002,1168519
2015-06-15,714.75,719.40002,696.40002,698.54999,1244078
2015-06-16,700.95001,706.0,693.0,704.95001,2765685
2015-06-17,708.0,719.20001,705.0,710.65002,2215497
2015-06-18,718.95001,734.34998,718.95001,728.95001,1908157
2015-06-19,733.79999,744.90002,729.75,740.0,1783890
2015-06-22,744.65002,751.54999,732.5,747.70001,1350579
2015-06-23,750.0,760.0,741.65002,756.5,980083
2015-06-24,751.90002,759.79999,739.20001,753.65002,2982650
2015-06-25,753.0,759.79999,745.09998,750.20001,1858338
2015-06-26,744.09998,754.90002,743.79999,750.25,764357
2015-06-29,743.0,743.0,727.5,736.70001,1100309
2015-06-30,737.0,759.5,737.0,755.34998,1348105
2015-07-01,757.45001,765.59998,755.09998,760.79999,1025215
2015-07-02,763.09998,772.5,761.09998,762.90002,973819
2015-07-03,762.0,778.40002,758.40002,772.70001,1068877
2015-07-06,765.0,786.15002,762.0,783.54999,652931
2015-07-07,793.0,827.90002,790.04999,824.59998,2464459
2015-07-08,819.79999,835.0,797.34998,802.25,1933525
2015-07-09,810.0,814.90002,795.0,796.95001,613555
2015-07-10,806.0,806.0,781.70001,795.29999,1027281
2015-07-13,805.20001,821.20001,803.29999,817.65002,1275702
2015-07-14,823.0,827.79999,810.29999,822.70001,780973
2015-07-15,826.5,840.5,823.25,837.84998,1095558
2015-07-16,853.0,854.29999,843.29999,848.04999,1169553
2015-07-17,851.79999,852.40002,823.75,825.40002,1089597
2015-07-20,830.0,855.95001,827.25,852.29999,1437246
2015-07-21,853.0,869.70001,811.09998,816.04999,4611552
2015-07-22,820.0,845.0,820.0,843.29999,2035530
2015-07-23,846.0,851.79999,836.09998,846.5,1188579
2015-07-24,852.0,856.0,845.0,849.0,1132540
2015-07-27,847.0,859.59998,836.0,853.15002,1153262
2015-07-28,857.0,858.20001,825.0,835.15002,1009835
2015-07-29,834.40002,852.79999,826.25,846.84998,1010065
2015-07-30,848.0,866.45001,847.5,857.54999,1318726
2015-07-31,864.5,885.0,855.15002,882.79999,1842105
2015-08-03,880.0,888.0,875.0,877.5,763822
2015-08-04,884.0,908.84998,878.15002,905.70001,2178289
2015-08-05,905.0,926.79999,885.75,923.29999,2003128
2015-08-06,920.0,924.5,910.09998,916.09998,923303
2015-08-07,911.0,924.40002,895.20001,898.65002,1416068
2015-08-10,903.5,916.25,895.40002,902.15002,732357
2015-08-11,905.0,906.95001,881.0,883.40002,1091087
2015-08-12,890.0,895.5,867.0,871.34998,721554
2015-08-13,872.15002,886.95001,862.34998,874.34998,1251179
2015-08-14,880.0,900.0,879.54999,895.25,880842
2015-08-17,903.5,907.25,895.0,900.04999,577133
2015-08-18,906.95001,914.90002,891.90002,901.34998,622790
2015-08-19,898.5,902.59998,881.59998,899.75,618923
2015-08-20,905.0,914.25,879.54999,883.20001,1404599
2015-08-21,875.0,893.0,864.0,886.75,905933
2015-08-24,858.0,877.20001,825.5,837.5,1176140
2015-08-25,850.0,866.0,811.75,852.15002,1329631
2015-08-26,851.0,868.09998,847.0,851.90002,1265081
2015-08-27,860.0,865.0,850.5,855.0,1335712
2015-08-28,866.84998,874.09998,850.0,858.25,1077558
2015-08-31,857.0,862.75,845.04999,848.59998,1260477
2015-09-01,844.0,844.09998,802.79999,819.09998,1438466
2015-09-02,829.90002,830.0,799.15002,806.0,1500676
2015-09-03,815.0,833.0,806.5,826.59998,887079
2015-09-04,824.0,824.0,792.0,812.84998,1101752
2015-09-07,815.0,819.95001,785.04999,788.0,874378
2015-09-08,791.09998,800.0,778.0,791.5,1489813
2015-09-09,800.0,822.90002,796.0,821.15002,1412900
2015-09-10,817.0,817.0,800.29999,807.95001,887236
2015-09-11,815.0,824.90002,810.54999,816.15002,1034469
2015-09-14,822.0,842.40002,819.0,840.25,1115176
2015-09-15,840.09998,848.0,823.59998,831.09998,832597
2015-09-16,840.0,840.0,818.09998,823.95001,665278
2015-09-18,826.0,849.90002,824.0,841.04999,1139255
2015-09-21,838.29999,838.29999,824.0,829.70001,688544
2015-09-22,831.20001,839.40002,802.09998,804.70001,826254
2015-09-23,795.09998,804.0,786.09998,794.09998,1281278
2015-09-24,794.90002,814.0,785.34998,806.34998,1503108
2015-09-28,810.0,813.0,790.04999,794.45001,739132
2015-09-29,783.0,809.90002,780.0,804.79999,1366194
2015-09-30,808.0,844.90002,807.90002,841.59998,1734244
2015-10-01,845.79999,849.0,836.15002,839.65002,633622
2015-10-05,843.0,856.95001,842.40002,855.40002,882680
2015-10-06,859.90002,864.09998,849.70001,853.70001,779669
2015-10-07,855.0,868.0,852.20001,865.04999,983606
2015-10-08,865.0,879.95001,860.0,874.15002,952597
2015-10-09,876.5,884.29999,846.20001,853.79999,1362132
2015-10-12,857.0,865.0,846.04999,859.25,773525
2015-10-13,862.70001,867.79999,857.25,865.34998,800729
2015-10-14,863.90002,869.5,860.04999,862.25,404366
2015-10-15,866.0,878.25,864.20001,870.04999,623054
2015-10-16,871.95001,885.20001,865.59998,882.5,658119
2015-10-19,882.5,892.40002,867.0,879.25,1247569
2015-10-20,874.0,888.90002,872.54999,875.45001,1806905
2015-10-21,874.0,881.54999,847.95001,856.25,1442218
2015-10-23,863.0,866.09998,850.40002,858.59998,2540806
2015-10-26,830.04999,844.0,811.20001,817.70001,3455887
2015-10-27,818.0,829.90002,818.0,827.09998,1247705
2015-10-28,829.5,838.0,823.59998,828.34998,1108455
2015-10-29,831.0,834.79999,820.40002,829.34998,1500496
2015-10-30,835.59998,840.0,826.40002,830.65002,810491
2015-11-02,831.0,837.0,825.5,830.09998,716702
2015-11-03,832.0,832.70001,812.04999,814.20001,1599110
2015-11-04,814.5,822.5,800.54999,802.20001,1783909
2015-11-05,807.0,811.5,797.15002,805.84998,1016171
2015-11-06,808.54999,816.0,800.0,801.20001,918564
2015-11-09,790.90002,818.40002,784.25,816.40002,1163084
2015-11-10,814.70001,816.0,796.79999,797.79999,751899
2015-11-11,808.0,808.0,802.25,804.45001,93460
2015-11-13,807.0,808.0,792.5,800.40002,765985
2015-11-16,796.0,809.95001,795.20001,800.95001,604535
2015-11-17,807.45001,813.25,800.34998,807.65002,500272
2015-11-18,807.95001,824.5,807.0,821.75,1253226
2015-11-19,827.0,833.79999,819.09998,823.70001,1038035
2015-11-20,821.40002,831.79999,818.54999,829.20001,712339
2015-11-23,838.20001,852.0,835.0,850.29999,1475762
2015-11-24,850.0,861.75,846.20001,856.59998,771337
2015-11-26,861.0,865.95001,851.79999,861.84998,678200
2015-11-27,862.59998,864.0,852.0,859.09998,444323
