time,open,high,low,close,Volume
2014-12-22,306.74969311,324.29968222,306.74969311,320.68300917,293883.29401865
2014-12-23,321.33301185,329.83300335,319.99967985,326.59966992,321546.32169442
2014-12-24,327.98300853,328.99967085,313.66635286,318.38302147,189717.18980457
2014-12-26,318.33301485,323.66634285,316.64968654,317.54968897,47466.04748791
2014-12-29,318.33301485,322.99967685,316.64968654,317.44967574,79950.0799869
2014-12-30,316.66634985,321.33301185,315.21635797,318.38302147,71133.07116583
2014-12-31,319.99967985,327.94966523,316.66634985,324.26633892,153027.15309763
2015-01-01,323.33300985,331.63300821,321.33301185,321.96635122,101337.10138377
2015-01-02,321.96635122,329.99966985,321.66634485,323.36633648,80622.08065921
2015-01-05,324.99967485,326.99967285,320.63301922,323.48301303,123936.12399321
2015-01-06,324.99967485,324.99967485,316.4163501,317.33301585,247080.24719405
2015-01-07,317.36634249,321.66634485,316.69967649,320.04968647,195519.19560925
2015-01-08,321.66634485,335.56633095,320.78300574,330.04967646,680133.68044693
2015-01-09,332.66633385,349.66631684,330.83300235,341.18299199,807138.80751055
2015-01-12,342.99965684,355.89964394,341.66632484,352.94964689,450912.45112013
2015-01-13,352.66631384,362.14963768,351.19964864,360.38297278,282648.28277846
2015-01-14,364.66630183,364.66630183,358.69964113,361.81630468,423687.42388256
2015-01-15,364.01630248,365.18296798,353.99964584,356.43297674,662685.66299088
2015-01-16,357.66630884,380.39961942,357.66630884,375.13295803,751965.75231209
2015-01-19,378.21628828,378.33295483,355.46631104,364.68296848,153723.15379395
2015-01-20,369.66629683,369.66629683,351.69964814,360.64963918,415689.41588087
2015-01-21,359.99963983,367.66629883,356.66630984,365.11630138,406944.40713183
2015-01-22,363.99963583,365.33296783,353.69964614,363.44963638,237471.23758061
2015-01-23,362.33297083,369.99962983,358.38297478,366.73296643,448311.44851793
2015-01-27,367.99963183,368.33296483,355.66631084,359.43297373,460722.46093466
2015-01-28,360.66630583,374.98295818,360.64963918,370.99962883,489180.48940579
2015-01-29,369.99962983,369.99962983,360.03297313,363.34963648,353493.35365616
2015-01-30,364.66630183,364.66630183,350.03298314,353.73297944,442149.44235308
2015-02-02,353.49964634,359.58297358,348.58298459,357.13297604,396822.39700516
2015-02-03,358.08297509,364.53296863,357.18297599,361.23297193,203103.20319675
2015-02-04,361.23297193,362.16630433,340.74965909,341.84965799,429774.42997237
2015-02-05,341.66632484,362.81630368,341.64965819,359.48297368,1861906.8627644
2015-02-06,361.26630523,378.86628763,358.33297483,374.18295898,715053.71538305
2015-02-09,371.66629483,371.66629483,358.86630763,365.04963478,320442.32058991
2015-02-10,366.33296683,380.56628592,347.33298584,354.13297904,794769.79513584
2015-02-11,360.83297233,374.64962518,355.43297774,371.54962828,776859.77721758
2015-02-12,376.66628983,383.33294982,371.99962783,382.13295102,363312.36347969
2015-02-13,382.06628442,401.29959852,373.59962623,392.61627387,438051.43825319
2015-02-16,393.66627282,395.84960397,386.66627982,390.24960957,240684.24079509
2015-02-18,391.66627482,396.91626957,388.49961132,392.14960767,319782.3199296
2015-02-19,393.33293982,394.66627182,377.16628933,383.21628327,425616.42581245
2015-02-20,384.66628182,384.66628182,367.03296613,368.06629843,288324.28845708
2015-02-23,376.99962283,376.99962283,363.99963583,364.78296838,422589.42278405
2015-02-24,364.66630183,374.99962483,364.39963543,373.51629298,238320.23843
2015-02-25,378.66628783,380.93295222,368.49963133,375.63295753,282759.28288951
2015-02-26,378.93295423,380.81628567,367.86629863,376.33295683,660618.66092292
2015-02-27,376.33295683,385.61628087,374.34962548,382.16628432,891429.89184046
2015-02-28,382.99961682,384.09961572,373.69962613,378.33295483,59100.05912728
2015-03-02,379.99961982,382.66628382,368.33296483,375.39962443,964365.96481012
2015-03-03,376.66628983,390.33294282,373.33295983,381.39961842,380778.38095376
