time,open,high,low,close,Volume
2014-12-31,104.7,105.95,104.055,104.775,3015260
2015-01-01,104.89,107.2,104.2,106.59,2674400
2015-01-02,107.01,107.9,106.33,106.915,3664240
2015-01-05,106.915,108.7,105.8,106.66,3392870
2015-01-06,105.41,105.895,102.055,102.77,5549800
2015-01-07,101.6,102.58,99.725,101.185,5286870
2015-01-08,102.5,103.49,99.859998,102.21,4780810
2015-01-09,102.7,103.5,100.405,101.295,5046040
2015-01-12,101.005,101.2,99.765002,100.07,2409440
2015-01-13,100.595,101.4,98.915002,99.345001,5067780
2015-01-14,99.5,99.8,96.304999,96.825,5881870
2015-01-15,97.795001,98.8,95.665002,97.095001,6814340
2015-01-16,97.370001,99.254999,96.095001,98.045001,4952730
2015-01-19,98.6,99.209998,97.229999,97.665002,3389350
2015-01-20,97.954999,100.825,97.875,100.51,6121230
2015-01-21,101.01,101.3,98.2,99.995001,5028900
2015-01-22,100.1,100.96,98.620001,99.325,3852690
2015-01-23,101.0,102.1,99.5,101.53,5485050
2015-01-27,101.605,102.42,100.155,101.65,4699280
2015-01-28,101.5,101.7,99.0,99.504999,4527080
2015-01-29,99.379999,100.275,97.834998,99.715002,7116890
2015-01-30,99.6,100.545,95.765002,97.745001,8125080
2015-02-02,97.825,100.96,97.704999,99.7,4969410
2015-02-03,99.7,100.595,97.8,98.55,5147100
2015-02-04,98.8,100.76,98.7,99.5,4891080
2015-02-05,99.6,100.0,97.125,97.65,5187440
2015-02-06,97.879999,98.470001,95.4,96.084998,4718950
2015-02-09,95.0,95.395001,92.2,93.609998,7214190
2015-02-10,93.3,96.390002,92.704999,93.859998,4334980
2015-02-11,93.690002,98.979999,93.690002,97.784998,4968810
2015-02-12,98.109998,98.690002,96.15,97.184998,4874410
2015-02-13,97.979999,99.940002,97.2,98.6,6535110
2015-02-16,99.2,100.305,98.520001,99.120001,4547420
2015-02-18,99.379999,100.04,97.0,97.320001,4624720
2015-02-19,97.879999,105.2,97.515002,103.76,10900420
2015-02-20,105.01,105.81,102.035,102.425,6068460
2015-02-23,102.8,103.285,99.125,99.715002,6027130
2015-02-24,100.0,103.28,98.145001,101.975,6011050
2015-02-25,103.47,103.49,99.465002,100.015,3899270
2015-02-26,100.8,101.45,98.5,99.225,6711410
2015-02-27,100.3,101.92,99.5,100.965,7951640
2015-02-28,101.0,105.165,97.7,101.085,9661150
2015-03-02,101.7,102.195,99.120001,100.685,5523170
2015-03-03,100.3,102.3,99.475,100.165,7891180
2015-03-04,102.0,102.17,98.509998,99.195001,9128560
2015-03-05,101.1,101.77,98.320001,99.159998,6330360
2015-03-09,99.579999,99.579999,95.609998,95.970001,4438780
2015-03-10,96.5,96.75,94.0,94.454999,4668640
2015-03-11,95.0,95.315002,92.720001,93.065002,4492530
2015-03-12,93.5,96.490002,93.5,95.215002,4538010
2015-03-13,95.6,96.015002,93.309998,94.290002,4327990
2015-03-16,95.015002,95.259998,91.5,91.890002,4202320
2015-03-17,92.679999,94.270001,91.6,93.75,7781370
2015-03-18,95.1,95.295001,93.2,93.940002,5779120
2015-03-19,95.0,96.5,94.365002,94.979999,8020320
2015-03-20,94.95,95.234998,91.55,92.095001,7733800
2015-03-23,92.195001,93.4,90.725,91.820001,6487970
2015-03-24,91.820001,92.275,89.475,90.254999,6518910
2015-03-25,89.890002,91.2,89.609998,90.984998,6553330
2015-03-26,90.804999,90.804999,88.020001,88.484998,9654280
2015-03-27,88.654999,91.9,88.654999,91.190002,5649210
2015-03-30,91.795001,92.209998,89.6,91.2,5256430
2015-03-31,92.509998,92.554999,90.204999,90.654999,6867990
2015-04-01,90.890002,91.520001,90.0,90.965002,6922890
2015-04-06,91.5,91.5,89.229999,90.079999,4374650
2015-04-07,90.5,94.234998,90.109998,93.759998,7755090
2015-04-08,94.2,94.584998,91.525,93.2,5392850
2015-04-09,93.5,96.0,91.85,95.270001,12583240
2015-04-10,95.3,96.7,93.715002,95.190002,7937210
