time,open,high,low,close,Volume
2014-12-22,306.29999,308.64999,303.35001,307.70001,11565160
2014-12-23,307.60001,312.5,306.25,307.20001,12836870
2014-12-24,306.0,309.95001,305.0,305.75,14866630
2014-12-26,306.85001,309.79999,306.04999,307.64999,7373519
2014-12-29,309.5,310.20001,307.0,307.54999,7699059
2014-12-30,308.20001,310.75,306.0,309.75,8113742
2014-12-31,310.04999,312.95001,310.0,311.85001,6305857
2015-01-01,312.45001,315.0,310.70001,314.0,6138488
2015-01-02,314.35001,318.29999,314.35001,315.25,9935094
2015-01-05,316.25,316.79999,312.10001,312.75,9136716
2015-01-06,310.0,311.10001,298.70001,299.89999,15329260
2015-01-07,300.0,302.54999,295.14999,300.14999,15046750
2015-01-08,305.0,306.5,302.35001,304.85001,8939749
2015-01-09,306.70001,307.85001,302.0,303.20001,11953950
2015-01-12,304.14999,307.79999,301.10001,307.10001,8536142
2015-01-13,308.14999,310.75,304.14999,305.10001,9484804
2015-01-14,304.0,307.0,302.25,304.70001,8855660
2015-01-15,319.89999,323.70001,314.0,320.29999,30729520
2015-01-16,320.0,320.29999,313.10001,315.45001,21598510
2015-01-19,316.54999,317.95001,312.5,313.14999,9975658
2015-01-20,314.0,319.79999,314.0,318.14999,13104640
2015-01-21,319.89999,327.60001,319.0,326.20001,22617660
2015-01-22,326.89999,327.60001,321.79999,324.64999,12232630
2015-01-23,328.25,332.54999,324.64999,327.45001,17127280
2015-01-27,329.39999,332.14999,322.60001,330.04999,13734090
2015-01-28,330.39999,336.0,328.20001,334.60001,19428850
2015-01-29,332.79999,333.60001,325.10001,327.0,14911660
2015-01-30,328.70001,330.5,307.0,308.95001,30252830
2015-02-02,309.5,311.89999,305.10001,307.5,17639810
2015-02-03,312.0,312.0,299.04999,300.29999,23743880
2015-02-04,302.70001,302.95001,291.89999,293.04999,21477510
2015-02-05,293.14999,297.79999,289.20001,290.79999,15722350
2015-02-06,291.0,294.85001,285.70001,290.29999,15985710
2015-02-09,289.5,292.79999,278.0,279.5,17088720
2015-02-10,277.5,290.79999,275.70001,287.29999,22589680
2015-02-11,290.79999,293.5,283.70001,285.95001,17366590
2015-02-12,288.89999,289.0,278.29999,284.29999,20957180
2015-02-13,288.0,307.95001,285.35001,306.95001,70540060
2015-02-16,310.60001,313.14999,304.70001,306.70001,21372130
2015-02-18,306.79999,307.89999,302.0,305.70001,13472480
2015-02-19,306.10001,307.29999,296.79999,302.35001,17762140
2015-02-20,301.89999,306.5,297.04999,302.29999,15792500
2015-02-23,303.20001,304.60001,294.39999,296.54999,12440510
2015-02-24,296.89999,299.0,292.10001,296.25,15046700
2015-02-25,299.0,300.64999,295.0,295.54999,12845170
2015-02-26,297.0,297.0,288.04999,289.39999,18707350
2015-02-27,291.25,301.0,290.10001,299.89999,18316050
2015-02-28,304.95001,306.39999,295.10001,301.64999,25014390
2015-03-02,305.89999,305.89999,296.70001,302.0,15085600
2015-03-03,303.5,305.39999,299.70001,302.60001,14387970
2015-03-04,314.0,315.0,292.0,293.85001,38674150
2015-03-05,294.75,296.25,289.75,293.79999,16803820
2015-03-09,292.0,294.0,288.70001,290.64999,13199800
2015-03-10,290.75,293.25,285.10001,287.60001,14064430
2015-03-11,288.54999,290.89999,283.75,285.14999,16329310
2015-03-12,288.14999,289.45001,286.10001,286.85001,9969794
2015-03-13,290.0,291.04999,280.0,280.75,13414250
2015-03-16,281.5,283.85001,280.0,281.64999,15132930
2015-03-17,283.89999,284.0,279.5,283.10001,11350500
2015-03-18,284.10001,288.45001,282.0,287.29999,12394230
2015-03-19,290.0,290.29999,280.60001,281.60001,11046650
2015-03-20,281.79999,282.39999,276.79999,278.25,11482650
2015-03-23,279.39999,280.0,273.54999,274.75,13058030
2015-03-24,273.79999,276.39999,269.0,270.54999,17585260
2015-03-25,271.89999,272.10001,265.0,265.39999,15824630
2015-03-26,264.5,265.89999,255.2,256.64999,22253320
2015-03-27,259.85001,264.95001,256.0,263.60001,19423100
2015-03-30,265.10001,269.35001,263.14999,267.89999,12303870
2015-03-31,268.89999,271.35001,266.0,267.04999,19482640
2015-04-01,266.64999,274.64999,263.14999,273.45001,12383590
2015-04-06,275.45001,275.75,271.20001,274.64999,12925450
2015-04-07,275.29999,276.35001,270.29999,272.04999,12933520
2015-04-08,271.89999,277.35001,271.85001,273.89999,9913899
2015-04-09,275.0,281.79999,272.5,280.85001,13471280
2015-04-10,281.0,287.35001,280.04999,285.75,16880560
2015-04-13,287.79999,288.5,283.35001,286.29999,11985440
2015-04-15,287.39999,294.45001,285.95001,290.0,17289500
2015-04-16,290.25,294.25,286.5,292.39999,15044000
2015-04-17,291.0,294.89999,289.20001,291.75,16819020
2015-04-20,291.0,293.35001,284.85001,287.64999,13788540
2015-04-21,287.39999,292.0,281.75,289.20001,15487950
2015-04-22,290.54999,293.25,275.39999,283.85001,17741740
2015-04-23,285.0,287.39999,276.25,277.64999,13874710
2015-04-24,278.35001,279.60001,274.35001,275.54999,10049510
2015-04-27,276.54999,276.54999,266.10001,267.04999,12394190
2015-04-28,267.0,273.5,265.14999,272.5,12693460
2015-04-29,272.25,273.39999,269.54999,271.89999,8217676
2015-04-30,270.10001,273.45001,266.70001,269.75,21635220
2015-05-04,274.0,278.0,271.64999,277.14999,8012690
2015-05-05,277.0,277.0,271.35001,272.04999,7102772
2015-05-06,271.45001,273.60001,263.25,265.39999,16335660
2015-05-07,264.0,267.25,259.64999,260.95001,15962710
2015-05-08,264.0,268.0,260.29999,261.95001,14044600
2015-05-11,263.39999,277.20001,262.60001,276.04999,17198310
2015-05-12,275.29999,275.39999,266.35001,267.39999,12792370
2015-05-13,269.89999,275.0,268.04999,274.29999,9245732
