time,open,high,low,close,Volume
2014-12-19,563.2,576.27998,560.1,569.5,23285
2014-12-22,573.0,573.0,554.2,560.17998,3740
2014-12-23,561.99,561.99,540.2,554.15,5385
2014-12-24,556.97002,556.97002,545.2,546.97998,3395
2014-12-26,550.0,550.0,540.0,546.57002,3690
2014-12-29,549.99,553.99,540.62002,542.41,3395
2014-12-30,545.8,545.8,535.4,536.95,14040
2014-12-31,539.0,559.0,533.6,539.27998,24940
2015-01-01,540.01,543.0,530.0,539.37002,24815
2015-01-02,536.0,545.97998,536.0,542.46,16120
2015-01-05,545.8,558.0,538.2,554.57002,7145
2015-01-06,551.21,551.21,539.0,543.72998,13120
2015-01-07,540.02998,556.74,540.02998,553.2,11765
2015-01-08,559.79,598.6,555.0,575.01,13065
2015-01-09,563.25,600.0,563.25,584.82998,7125
2015-01-12,599.57998,610.0,590.37998,595.59,9715
2015-01-13,619.0,619.0,597.0,600.9,5730
2015-01-14,609.8,610.0,595.2,599.17002,4320
2015-01-15,605.0,608.8,582.2,592.7,3865
2015-01-16,586.87002,610.0,586.87002,601.2,1885
2015-01-19,611.97998,618.0,602.0,616.42998,12180
2015-01-20,619.77002,619.77002,593.15,616.65,11715
2015-01-21,606.6,625.0,606.6,618.51,14855
2015-01-22,622.42998,622.42998,608.0,610.76,12010
2015-01-23,618.99,621.0,604.21,618.1,16010
2015-01-27,621.8,634.99,614.2,616.57002,8225
2015-01-28,603.02002,625.0,603.0,617.96,16305
2015-01-29,625.31,625.32002,615.99,619.42998,8140
2015-01-30,623.97002,630.0,610.21,620.11,21870
2015-02-02,613.29,629.94,610.19,618.57998,9530
2015-02-03,619.99,626.99,614.2,619.39,2615
2015-02-04,624.0,629.8,616.3,617.35,6910
2015-02-05,625.97998,625.97998,610.15,614.2,14485
2015-02-06,620.0,620.0,606.2,615.12998,1820
2015-02-09,600.0,614.85,600.0,613.87002,4475
2015-02-10,613.87002,623.0,603.0,611.12002,8400
2015-02-11,618.97998,619.6,606.1,607.97998,52255
2015-02-12,610.01,622.0,608.01,611.16,8570
2015-02-13,619.79,619.8,606.0,609.85,42900
2015-02-16,621.8,621.8,610.2,617.32998,5430
2015-02-18,625.57002,625.57002,610.0,616.54,45045
2015-02-19,625.99,681.8,620.0,647.27002,18575
2015-02-20,647.27002,724.0,647.27002,684.91,73425
2015-02-23,684.0,704.81,665.2,670.47002,28130
2015-02-24,679.0,687.2,662.4,665.96,8885
2015-02-25,666.0,679.0,637.0,645.27002,21645
2015-02-26,645.24,660.0,640.0,649.57002,5000
2015-02-27,651.97998,670.01,649.56,662.82998,22015
2015-02-28,675.0,687.76,646.42002,657.32002,16860
2015-03-02,672.0,672.0,638.35,644.87002,35155
2015-03-03,640.41,648.25,630.35,645.79,5295
2015-03-04,650.0,652.4,632.22998,642.82998,43790
2015-03-05,635.25,659.8,635.25,651.81,8735
2015-03-09,684.8,684.8,640.0,655.99,11790
2015-03-10,642.0,662.0,642.0,655.52998,7310
2015-03-11,655.31,671.8,648.96,669.32998,7735
2015-03-12,679.92002,681.0,660.21,678.07998,7050
2015-03-13,692.0,692.0,662.0,672.57002,275145
2015-03-16,668.01,723.71,667.0,697.89,162225
2015-03-17,697.89,706.57002,676.16,693.57002,11135
2015-03-18,691.72998,698.0,676.0,685.77998,5005
2015-03-19,685.37998,699.22998,650.81,668.97998,62360
2015-03-20,680.0,680.0,640.0,646.39,6305
2015-03-23,655.12002,660.0,649.17998,653.95,89000
2015-03-24,653.42998,653.42998,640.0,644.37998,2890
2015-03-25,653.07998,678.0,651.0,661.04,4270
2015-03-26,660.01,667.4,651.21,653.0,152795
2015-03-27,659.97998,659.97998,640.29,649.0,448605
2015-03-30,655.0,687.0,654.02002,673.94,5320
2015-03-31,674.0,700.0,673.97998,680.51,8235
2015-04-01,683.99,689.69,676.01,680.77998,13925
2015-04-06,686.0,697.99,680.0,689.55,10910
2015-04-07,699.99,730.92002,672.62998,699.42998,12120
2015-04-08,712.0,732.4,702.0,708.56,22275
2015-04-09,700.0,776.01,700.0,729.62002,28580
2015-04-10,740.0,765.24,730.54,738.42998,72585
2015-04-13,760.0,763.8,742.06,759.87002,8400
2015-04-15,768.8,775.8,740.21,762.06,12585
2015-04-16,766.39,771.1,748.0,750.16,6975
2015-04-17,760.0,767.79,733.4,747.77998,13545
2015-04-20,748.39,754.79,710.0,712.12002,12105
2015-04-21,739.99,739.99,697.0,698.91,134520
2015-04-22,695.0,710.0,695.0,702.95,3955
2015-04-23,710.0,718.0,699.8,701.07002,3335
2015-04-24,696.02998,719.99,678.4,680.84,8720
2015-04-27,727.99,727.99,650.2,677.22998,7595
2015-04-28,653.12002,698.77998,653.12002,677.82002,26940
2015-04-29,666.05,685.71,654.54,675.64,4605
2015-04-30,671.8,693.0,671.8,677.42998,5070
2015-05-04,695.0,719.8,681.02998,696.52002,4085
