time,open,high,low,close,Volume
2014-12-02,1346.5,1355.475,1324.67505,1328.65,1436572
2014-12-03,1335.94995,1336.69995,1309.25,1317.67505,3094670
2014-12-04,1332.0,1333.5,1314.94995,1318.975,1285308
2014-12-05,1320.44995,1324.9,1286.07495,1289.475,2359676
2014-12-08,1297.5,1297.5,1250.82495,1256.4,3232574
2014-12-09,1258.0,1279.5,1254.55005,1257.42505,2487940
2014-12-10,1257.5,1265.94995,1248.1,1253.94995,2087970
2014-12-11,1250.30005,1261.44995,1243.5,1246.07495,1938822
2014-12-12,1250.0,1260.0,1211.32495,1225.35,2380786
2014-12-15,1192.44995,1192.5,1176.125,1179.32495,3487788
2014-12-16,1175.0,1229.625,1172.5,1221.525,3339140
2014-12-17,1226.69995,1235.0,1202.625,1222.05005,2287076
2014-12-18,1227.55005,1234.25,1217.4,1230.35,1481444
2014-12-19,1235.65,1261.875,1234.0,1255.275,1903130
2014-12-22,1263.0,1264.5,1237.19995,1256.69995,1643954
2014-12-23,1250.0,1268.32495,1247.30005,1258.35,1266476
2014-12-24,1257.5,1260.42505,1232.82495,1239.94995,3288972
2014-12-26,1243.0,1255.0,1232.5,1252.5,626206
2014-12-29,1254.0,1268.475,1253.5,1261.44995,778920
2014-12-30,1262.5,1271.225,1258.0,1265.025,701342
2014-12-31,1266.35,1283.19995,1262.5,1279.125,1573792
2015-01-01,1283.5,1283.5,1270.5,1272.775,366830
2015-01-02,1275.5,1295.475,1275.30005,1289.725,925740
2015-01-05,1290.5,1299.94995,1262.32495,1270.125,1754242
2015-01-06,1264.55005,1264.55005,1220.0,1223.30005,2423784
2015-01-07,1235.0,1239.57495,1203.725,1208.85,2636332
2015-01-08,1221.19995,1224.5,1210.275,1221.9,1565408
2015-01-09,1227.5,1259.94995,1225.0,1256.15,3197642
2015-01-12,1258.5,1264.0,1240.125,1254.85,1596006
2015-01-13,1260.0,1265.19995,1240.05005,1248.94995,1468432
2015-01-14,1258.0,1265.9,1250.25,1260.975,1787096
2015-01-15,1266.5,1290.875,1261.625,1269.55005,5009920
2015-01-16,1271.85,1272.5,1242.15,1266.07495,5293830
2015-01-19,1268.0,1275.5,1251.5,1255.5,1135074
2015-01-20,1260.0,1265.0,1241.625,1250.225,2058566
2015-01-21,1261.0,1261.0,1244.125,1256.9,2310480
2015-01-22,1258.25,1260.625,1247.75,1256.775,2113214
2015-01-23,1257.0,1266.025,1248.05005,1251.80005,3150380
2015-01-27,1256.17505,1257.5,1244.775,1251.025,2738736
2015-01-28,1251.5,1272.44995,1251.44995,1269.80005,3121980
2015-01-29,1269.0,1284.35,1256.44995,1272.32495,3734392
2015-01-30,1280.35,1287.5,1235.0,1241.025,5817402
2015-02-02,1241.0,1260.725,1231.025,1257.1,3181802
2015-02-03,1255.82495,1282.5,1253.55005,1279.125,2345054
2015-02-04,1284.0,1285.85,1251.05005,1257.15,2245418
2015-02-05,1260.0,1295.85,1259.5,1276.19995,4530168
2015-02-06,1276.5,1297.4,1275.42505,1287.875,2136416
2015-02-09,1280.75,1284.55005,1250.0,1256.44995,2076432
2015-02-10,1255.0,1263.125,1216.5,1220.57495,3799054
2015-02-11,1227.525,1243.625,1223.625,1229.94995,2937522
2015-02-12,1239.9,1239.9,1223.5,1231.07495,3107980
2015-02-13,1235.0,1273.875,1230.125,1269.375,4158326
2015-02-16,1280.0,1297.5,1277.5,1292.4,2364392
2015-02-18,1292.525,1321.5,1282.625,1317.82495,2660014
2015-02-19,1318.0,1343.65,1317.5,1340.525,2618002
2015-02-20,1349.4,1349.4,1321.125,1337.775,1801588
2015-02-23,1335.5,1361.0,1335.5,1348.32495,1614892
2015-02-24,1347.0,1365.0,1339.5,1352.375,2199922
2015-02-25,1355.0,1361.0,1333.92505,1336.1,1767994
2015-02-26,1339.5,1346.375,1312.67505,1328.225,1991994
2015-02-27,1329.725,1337.875,1308.15,1331.17505,2877376
2015-02-28,1338.5,1343.55005,1321.5,1337.625,1178996
2015-03-02,1339.85,1354.475,1326.275,1334.69995,2176038
2015-03-03,1341.0,1395.0,1338.07495,1388.0,3424308
2015-03-04,1394.0,1406.05005,1357.82495,1373.0,3862994
2015-03-05,1375.0,1385.35,1340.525,1348.225,2173514
2015-03-09,1320.0,1339.9,1305.0,1323.4,2883174
2015-03-10,1324.44995,1339.125,1297.625,1321.35,3037052
2015-03-11,1321.0,1329.975,1298.9,1303.275,2240200
2015-03-12,1311.94995,1312.44995,1295.05005,1309.525,1827636
2015-03-13,1319.0,1319.975,1287.5,1291.17505,1586838
2015-03-16,1292.6,1305.0,1276.0,1281.15,1556296
2015-03-17,1291.25,1303.35,1278.875,1291.85,1267318
2015-03-18,1295.475,1299.725,1275.85,1279.67505,1255170
2015-03-19,1288.0,1302.92505,1284.05005,1298.125,2448964
2015-03-20,1298.0,1309.0,1289.42505,1305.475,1963908
2015-03-23,1308.0,1315.5,1303.0,1308.57495,1566608
2015-03-24,1315.0,1318.5,1291.05005,1295.65,2394878
2015-03-25,1295.69995,1307.0,1272.6,1286.875,2224858
2015-03-26,1276.65,1293.35,1250.5,1256.55005,3091642
2015-03-27,1265.5,1285.94995,1252.05005,1257.4,2751776
2015-03-30,1262.5,1284.94995,1260.0,1282.07495,1339006
2015-03-31,1284.725,1284.725,1260.5,1276.975,2427028
2015-04-01,1279.0,1281.80005,1261.125,1271.32495,2075758
2015-04-06,1279.0,1281.44995,1250.05005,1273.65,1568542
2015-04-07,1281.225,1299.5,1272.0,1292.5,1886922
2015-04-08,1297.0,1328.25,1295.42505,1320.69995,1652134
2015-04-09,1329.5,1343.725,1317.57495,1332.275,2544450
2015-04-10,1324.25,1335.4,1314.0,1326.875,1815544
2015-04-13,1332.0,1332.5,1314.0,1327.75,1308642
2015-04-15,1327.35,1356.94995,1304.69995,1313.875,2913934
2015-04-16,1313.475,1313.5,1285.67505,1291.4,3217570
2015-04-17,1278.55005,1280.0,1235.0,1237.42505,9668742
2015-04-20,1240.025,1241.94995,1212.42505,1214.4,2890722
2015-04-21,1214.4,1226.0,1200.5,1213.525,2546032
2015-04-22,1215.75,1236.5,1203.775,1222.55005,4186812
2015-04-23,1236.0,1239.9,1215.85,1228.625,4342990
2015-04-24,1227.65,1257.0,1223.775,1246.525,3625158
2015-04-27,1249.75,1260.0,1243.0,1250.1,2733052
2015-04-28,1255.0,1255.0,1227.55005,1247.5,3088298
2015-04-29,1242.0,1247.5,1225.525,1243.65,2019620
2015-04-30,1240.0,1245.0,1213.55005,1231.85,3738054
2015-05-04,1245.5,1252.4,1228.6,1240.775,1890630
2015-05-05,1250.5,1268.225,1250.0,1258.92505,3255070
2015-05-06,1257.5,1257.5,1227.9,1231.525,3394406
2015-05-07,1232.44995,1276.875,1226.85,1272.625,3205028
2015-05-08,1280.0,1294.0,1258.15,1263.625,3003664
2015-05-11,1267.5,1281.525,1262.5,1278.0,2573082
2015-05-12,1280.0,1282.5,1256.5,1261.44995,2467386
2015-05-13,1273.5,1273.5,1240.225,1257.69995,1863774
2015-05-14,1260.0,1260.0,1242.5,1249.625,1309050
2015-05-15,1257.5,1266.19995,1250.5,1255.57495,1461454
2015-05-18,1257.05005,1262.625,1248.55005,1260.19995,4507752
2015-05-19,1259.69995,1265.0,1248.375,1256.35,1957722
2015-05-20,1260.0,1284.94995,1258.44995,1278.525,1897814
2015-05-21,1278.5,1290.0,1274.07495,1277.75,1579578
2015-05-22,1275.0,1314.375,1269.625,1308.94995,2691632
2015-05-25,1310.0,1318.44995,1292.85,1300.5,982978
2015-05-26,1302.5,1311.625,1294.44995,1304.42505,1961740
2015-05-27,1304.0,1316.57495,1296.0,1307.625,1620690
2015-05-28,1301.94995,1311.5,1291.125,1304.75,2763608
2015-05-29,1308.5,1324.30005,1298.625,1305.15,4423532
2015-06-01,1304.725,1323.55005,1304.17505,1308.875,882264
2015-06-02,1308.0,1315.0,1295.25,1299.94995,3935820
2015-06-03,1302.0,1312.80005,1295.25,1305.44995,1804684
2015-06-04,1308.55005,1311.4,1294.25,1302.82495,4131468
2015-06-05,1296.0,1304.5,1285.0,1287.92505,2308534
2015-06-08,1295.0,1295.0,1280.82495,1288.725,1570320
2015-06-09,1292.5,1295.0,1275.5,1280.82495,2578914
2015-06-10,1283.0,1305.0,1281.9,1300.375,2763350
2015-06-11,1302.75,1306.5,1278.375,1285.65,1847336
2015-06-12,1285.94995,1294.475,1238.4,1252.9,2571456
2015-06-15,1252.65,1260.225,1240.5,1252.4,2525176
2015-06-16,1250.0,1259.65,1247.225,1256.0,1267396
2015-06-17,1260.5,1264.57495,1250.9,1256.9,1975720
2015-06-18,1257.5,1273.15,1254.0,1265.025,2165046
2015-06-19,1267.5,1277.5,1263.55005,1274.775,1999610
2015-06-22,1273.5,1300.0,1273.5,1295.75,1102002
2015-06-23,1300.0,1304.0,1283.6,1287.30005,898318
2015-06-24,1290.0,1293.94995,1279.42505,1285.15,1170246
2015-06-25,1281.0,1286.5,1272.07495,1275.0,1930992
2015-06-26,1275.1,1298.17505,1275.1,1296.4,1290102
2015-06-29,1286.0,1302.0,1271.69995,1296.44995,1372756
2015-06-30,1292.5,1294.375,1270.0,1275.475,1549952
2015-07-01,1281.94995,1304.0,1278.375,1296.55005,1279708
2015-07-02,1300.0,1301.475,1285.525,1288.875,1445880
2015-07-03,1286.525,1305.0,1285.0,1301.94995,963470
2015-07-06,1290.15,1322.5,1290.15,1316.65,1182338
2015-07-07,1316.375,1323.44995,1301.5,1308.125,1642836
2015-07-08,1298.975,1310.85,1290.25,1297.55005,2667850
2015-07-09,1297.5,1299.125,1253.32495,1261.25,3934122
2015-07-10,1279.5,1279.5,1227.5,1237.17505,8263654
2015-07-13,1237.69995,1259.30005,1237.69995,1254.775,2280308
2015-07-14,1255.5,1257.5,1245.0,1249.75,1703274
2015-07-15,1250.5,1274.975,1250.0,1272.875,2003660
2015-07-16,1271.85,1279.42505,1263.30005,1270.1,1456608
2015-07-17,1273.4,1285.05005,1271.65,1282.19995,1070526
2015-07-20,1282.0,1291.94995,1275.94995,1289.57495,853786
2015-07-21,1288.0,1300.17505,1277.55005,1280.69995,1274500
2015-07-22,1280.5,1284.5,1260.525,1264.025,1320628
2015-07-23,1258.75,1268.92505,1241.5,1244.30005,1496780
2015-07-24,1248.75,1258.25,1246.05005,1252.57495,1574972
2015-07-27,1244.0,1252.5,1240.57495,1248.525,2003738
2015-07-28,1249.75,1259.5,1246.07495,1251.025,1891188
2015-07-29,1255.5,1257.525,1241.75,1253.375,2413318
2015-07-30,1258.025,1258.4,1236.4,1240.32495,2770574
2015-07-31,1244.94995,1259.5,1243.5,1255.375,1963776
2015-08-03,1251.69995,1262.5,1250.44995,1254.80005,1179324
2015-08-04,1255.19995,1261.5,1243.0,1254.44995,2342692
2015-08-05,1260.0,1275.0,1255.5,1273.57495,988994
2015-08-06,1282.5,1291.5,1275.05005,1286.65,2211366
2015-08-07,1286.5,1286.5,1273.5,1276.025,1188506
2015-08-10,1286.0,1294.5,1278.30005,1286.05005,1431182
2015-08-11,1289.0,1305.0,1271.05005,1302.1,2200306
2015-08-12,1301.55005,1345.69995,1301.0,1335.85,3479784
2015-08-13,1335.0,1342.0,1278.0,1317.80005,1406426
2015-08-14,1319.0,1359.67505,1318.55005,1351.6,2293964
2015-08-17,1345.05005,1348.4,1327.5,1342.375,773644
2015-08-18,1353.44995,1374.94995,1345.0,1370.44995,1916926
2015-08-19,1375.0,1376.42505,1360.94995,1366.80005,1690070
2015-08-20,1372.5,1372.5,1336.0,1343.42505,2349298
2015-08-21,1356.0,1364.94995,1327.55005,1338.07495,3536080
2015-08-24,1319.5,1322.5,1284.55005,1289.32495,4692344
