time,open,high,low,close,Volume
2014-11-03,132.7,135.0,131.23,134.065,339150
2014-11-05,135.0,138.4,132.6,134.99,544030
2014-11-07,137.5,140.9,135.78,137.7,242860
2014-11-10,138.9,138.9,134.6,135.61,80100
2014-11-11,135.03,139.845,135.03,138.035,145360
2014-11-12,139.935,143.5,136.615,140.48,317670
2014-11-13,139.21,145.585,139.21,144.215,319380
2014-11-14,144.2,151.88,143.49,147.415,953390
2014-11-17,148.0,153.295,144.9,151.735,405690
2014-11-18,152.0,153.895,148.11,148.49,172660
2014-11-19,148.5,154.89,148.5,149.46,324600
2014-11-20,150.345,157.59,148.205,155.36,342900
2014-11-21,154.0,157.485,150.99,151.425,184310
2014-11-24,154.0,154.0,146.5,147.4,134140
2014-11-25,149.855,149.855,143.5,144.885,239280
2014-11-26,143.5,147.795,143.5,144.2,55250
2014-11-27,143.405,146.315,143.405,144.065,26750
2014-11-28,143.505,149.39,143.505,145.88,132370
2014-12-01,146.0,148.5,144.245,144.89,41900
2014-12-02,143.455,146.99,143.455,144.86,45960
2014-12-03,144.7,153.5,144.7,151.9,164900
2014-12-04,151.135,159.6,150.505,158.11,396520
2014-12-05,158.8,158.97,153.105,153.79,169860
2014-12-08,153.0,156.8,151.66,152.075,279490
2014-12-09,152.6,152.6,150.0,151.885,143000
2014-12-10,152.0,152.73,147.61,149.885,31900
2014-12-11,148.2,149.83,146.0,147.34,43300
2014-12-12,147.64,148.8,144.2,146.0,73980
2014-12-15,144.8,147.995,144.01,145.655,28490
2014-12-16,145.285,146.385,143.1,145.225,92350
2014-12-17,145.2,145.7,139.5,141.01,228330
2014-12-18,148.5,148.5,138.0,142.505,161120
2014-12-19,141.1,145.8,140.2,141.235,92040
2014-12-22,142.0,142.0,138.65,139.705,99760
2014-12-23,135.5,141.12,135.5,139.5,82990
2014-12-24,139.005,140.4,137.995,138.455,29800
2014-12-26,138.5,147.83,138.495,144.86,237440
2014-12-29,145.015,150.1,145.015,148.49,81910
2014-12-30,149.0,150.5,144.87,146.41,105950
2014-12-31,145.505,149.9,144.8,149.02,275890
2015-01-01,148.1,149.2,147.0,148.29,16570
2015-01-02,148.5,149.2,145.96,146.985,25380
2015-01-05,146.155,152.0,144.305,147.155,252680
2015-01-06,147.0,149.88,144.0,145.09,126520
2015-01-07,149.44,151.67,146.13,148.855,183230
2015-01-08,151.3,151.3,147.025,150.245,129620
2015-01-09,150.195,151.0,146.1,147.22,66360
2015-01-12,147.2,149.205,143.255,144.825,61560
2015-01-13,146.415,146.605,142.0,142.32,88120
2015-01-14,143.285,144.9,139.005,139.55,155910
2015-01-15,141.255,142.57,137.17,142.005,237060
2015-01-16,141.905,141.905,139.0,139.235,44940
2015-01-19,139.4,143.9,139.4,143.17,70260
2015-01-20,145.48,147.685,143.9,144.555,147650
2015-01-21,145.7,146.665,142.98,143.405,25060
2015-01-22,144.865,148.73,139.5,141.92,222800
2015-01-23,144.4,149.315,143.0,144.505,563340
2015-01-27,144.9,149.3,143.5,146.315,248670
2015-01-28,147.0,149.5,146.995,148.435,228890
2015-01-29,148.99,148.99,143.6,144.955,148310
2015-01-30,144.0,148.19,143.995,145.88,126810
2015-02-02,145.87,147.815,144.0,145.245,54050
2015-02-03,145.21,147.8,141.005,141.84,95810
2015-02-04,142.2,148.2,142.2,147.27,378050
2015-02-05,147.295,152.7,146.495,149.375,764220
2015-02-06,150.425,151.685,145.8,147.61,128400
2015-02-09,147.7,150.0,146.005,146.69,50050
2015-02-10,146.3,147.9,142.685,145.21,132130
2015-02-11,146.025,148.9,143.155,148.23,110070
2015-02-12,148.985,149.27,145.5,146.605,41630
2015-02-13,147.5,148.0,145.735,146.34,21530
2015-02-16,146.5,150.27,145.8,146.285,33580
2015-02-18,146.845,150.69,146.71,149.325,148030
2015-02-19,150.0,150.395,146.0,146.7,55340
2015-02-20,147.45,148.895,145.52,145.83,33110
2015-02-23,147.195,148.65,144.615,145.385,39430
2015-02-24,146.25,148.795,144.825,146.36,51820
2015-02-25,147.0,148.5,144.0,144.83,36960
2015-02-26,145.645,148.0,143.005,147.055,51950
2015-02-27,147.2,150.545,145.305,149.165,68900
2015-02-28,148.125,149.69,145.6,146.625,14970
2015-03-02,146.7,147.505,145.3,145.775,27720
2015-03-03,145.8,148.795,145.1,146.95,73120
2015-03-04,146.9,149.9,145.015,145.615,69960
2015-03-05,146.29,148.895,145.7,146.865,36890
2015-03-09,146.01,147.995,144.6,145.97,39080
2015-03-10,146.9,149.0,145.61,148.03,52750
2015-03-11,147.1,149.4,141.2,147.625,297050
2015-03-12,146.815,150.6,146.815,147.56,69780
2015-03-13,148.785,155.0,148.005,150.48,351760
2015-03-16,147.5,151.9,146.21,148.8,273700
2015-03-17,150.48,150.595,146.51,148.92,235740
2015-03-18,149.795,150.84,147.0,148.845,277730
2015-03-19,148.995,149.0,146.605,147.905,92310
2015-03-20,148.44,149.38,146.0,147.845,114570
2015-03-23,147.85,147.9,144.6,146.27,102050
2015-03-24,144.215,148.4,144.215,145.835,34880
2015-03-25,146.4,147.01,143.005,145.095,139730
2015-03-26,143.505,146.9,143.505,146.235,119860
2015-03-27,145.5,148.9,143.0,147.985,177120
2015-03-30,148.0,148.5,145.81,147.36,106020
2015-03-31,148.345,148.4,145.59,146.98,202960
2015-04-01,147.795,149.2,147.5,148.105,23690
2015-04-06,147.9,151.3,146.7,148.615,264310
2015-04-07,148.8,149.895,146.2,146.725,49720
2015-04-08,147.2,148.105,144.4,144.985,134210
2015-04-09,145.1,145.8,141.4,142.42,195010
2015-04-10,143.0,143.595,140.505,141.21,56190
2015-04-13,141.6,143.0,138.75,139.08,62570
2015-04-15,138.7,141.5,136.5,137.3,33390
2015-04-16,139.015,139.5,136.01,138.975,155730
2015-04-17,139.4,140.3,137.56,138.57,81690
2015-04-20,138.5,138.5,130.13,131.91,112820
2015-04-21,132.2,132.875,127.1,129.12,135010
2015-04-22,129.5,130.855,127.515,128.49,112640
2015-04-23,128.9,129.8,121.51,123.78,273440
2015-04-24,123.5,123.5,117.4,118.715,205580
2015-04-27,119.7,120.005,112.0,115.63,110500
2015-04-28,115.7,121.1,114.75,119.755,49570
2015-04-29,119.735,120.735,115.14,115.675,66060
2015-04-30,116.3,116.5,109.5,113.87,193780
2015-05-04,114.36,123.4,114.0,118.17,201910
2015-05-05,118.3,120.7,117.125,118.105,26340
2015-05-06,118.105,119.2,111.535,112.52,46380
2015-05-07,111.6,115.8,111.6,113.175,39770
2015-05-08,113.285,118.33,113.28,117.545,60720
2015-05-11,118.5,119.48,116.51,117.24,44060
2015-05-12,114.81,118.5,110.505,111.75,184470
2015-05-13,112.5,115.025,111.8,113.25,534270
2015-05-14,114.5,116.9,112.1,115.44,64190
2015-05-15,114.84,116.4,113.55,115.29,45400
2015-05-18,115.01,118.0,115.01,117.225,23630
2015-05-19,117.5,119.9,117.045,119.035,22820
2015-05-20,119.82,132.795,119.82,130.04,441710
